system;route;banner;name;roots
fraoccd48;D12;-48;JUST SEGMENT;fraara.d001248
fraoccd48;D31;-48;;fraocc.d003148
fraoccd48;D35;-48;;fraocc.d003548
fraoccd48;D42;-48;;fraocc.d004248
fraoccd48;D806;-48;;fraocc.d080648
fraoccd48;D808;-48;;fraocc.d080848
fraoccd48;D809;-48;;fraocc.d080948
fraoccd48;D888;-48;;fraocc.d088848
fraoccd48;D900;-48;;fraocc.d090048
fraoccd48;D901;-48;;fraocc.d090148
fraoccd48;D906;-48;Luc;fraocc.d090648luc
fraoccd48;D906;-48;Villefort;fraocc.d090648
fraoccd48;D907;-48;;fraocc.d090748
fraoccd48;D907B;-48;;fraocc.d0907b48
fraoccd48;D983;-48;;fraocc.d098348
fraoccd48;D984;-48;;fraocc.d098448
fraoccd48;D985;-48;;fraocc.d098548
fraoccd48;D986;-48;;fraocc.d098648
fraoccd48;D987;-48;;fraocc.d098748
fraoccd48;D988;-48;Banassac-Canilhac;fraocc.d098848ban
fraoccd48;D988;-48;Pierrefiche;fraocc.d098848
fraoccd48;D989;-48;;fraocc.d098948
fraoccd48;D995;-48;;fraocc.d099548
fraoccd48;D996;-48;;fraocc.d099648
fraoccd48;D998;-48;Banassac-Canilhac;fraocc.d099848ban
fraoccd48;D998;-48;Le Pont-de-Montvert;fraocc.d099848
fraoccd48;D999;-48;;fraocc.d099948
