system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
fraarad63;FRA-ARA;M2;-63;;;fraara.m000263;
fraarad63;FRA-ARA;M2B;-63;;;fraara.m0002b63;
fraarad63;FRA-ARA;M2C;-63;;;fraara.m0002c63;
fraarad63;FRA-ARA;M3;-63;;;fraara.m000363;
fraarad63;FRA-ARA;M21;-63;Ceb;Cébazat;fraara.m002163ceb;
fraarad63;FRA-ARA;M21;-63;;Aubière;fraara.m002163;
fraarad63;FRA-ARA;M21B;-63;;;fraara.m0021b63;
fraarad63;FRA-ARA;M54;-63;;;fraara.m005463;
fraarad63;FRA-ARA;M54B;-63;;;fraara.m0054b63;
fraaram63;FRA-ARA;M402;-63;;;fraara.m040263;
fraaram63;FRA-ARA;M402C;-63;;;fraara.m0402c63;
fraarad63;FRA-ARA;M764;-63;Bla;Blanzat;fraara.m076463bla;
fraarad63;FRA-ARA;M764;-63;;Nohanent;fraara.m076463;
fraarad63;FRA-ARA;M769;-63;;;fraara.m076963;
fraarad63;FRA-ARA;M771;-63;;;fraara.m077163;
fraarad63;FRA-ARA;M772;-63;;;fraara.m077263;
fraarad63;FRA-ARA;M772A;-63;;;fraara.m0772a63;
fraarad63;FRA-ARA;M777;-63;;;fraara.m077763;
fraaram63;FRA-ARA;M796;-63;;;fraara.m079663;
fraarad63;FRA-ARA;M805;-63;;;fraara.m080563;
fraarad63;FRA-ARA;M2099;-63;;;fraara.m209963;
