system;route;banner;name;roots
frabred29;D1;-29;;frabre.d000129
frabred29;D2;-29;;frabre.d000229
frabred29;D3;-29;;frabre.d000329
frabred29;D4;-29;;frabre.d000429
frabred29;D4A;-29;;frabre.d0004a29
frabred29;D5;-29;Plouarzel;frabre.d000529
frabred29;D5;-29;Guilers;frabre.d000529gui
frabred29;D6;-29;;frabre.d000629
frabred29;D7;-29;Beuzec-Cap-Sizun;frabre.d000729
frabred29;D7;-29;Locronan;frabre.d000729loc
frabred29;D7A;-29;;frabre.d0007a29
frabred29;D8;-29;;frabre.d000829
frabred29;D8A;-29;;frabre.d0008a29
frabred29;D9;-29;;frabre.d000929
frabred29;D10;-29;;frabre.d001029
frabred29;D11;-29;;frabre.d001129
frabred29;D13;-29;;frabre.d001329
frabred29;D13A1;-29;;frabre.d0013a129
frabred29;D14;-29;;frabre.d001429
frabred29;D14A;-29;;frabre.d0014a29
frabred29;D15;-29;;frabre.d001529
frabred29;D16;-29;;frabre.d001629
frabred29;D17;-29;;frabre.d001729
frabred29;D18;-29;;frabre.d001829
frabred29;D18A;-29;;frabre.d0018a29
frabred29;D19;-29;;frabre.d001929
frabred29;D19A1;-29;;frabre.d0019a129
frabred29;D19A2;-29;;frabre.d0019a229
frabred29;D20;-29;;frabre.d002029
frabred29;D21;-29;;frabre.d002129
frabred29;D22;-29;Bannalec;frabre.d002229
frabred29;D22;-29;Arzano;frabre.d002229arz
frabred29;D23;-29;;frabre.d002329
frabred29;D24;-29;;frabre.d002429
frabred29;D25;-29;;frabre.d002529
frabred29;D25A;-29;;frabre.d0025a29
frabred29;D26;-29;;frabre.d002629
frabred29;D27;-29;;frabre.d002729
frabred29;D28;-29;;frabre.d002829
frabred29;D29;-29;Lanhouarneau;frabre.d002929
frabred29;D29;-29;Loperhet;frabre.d002929lop
frabred29;D30;-29;Landivisiau;frabre.d003029
frabred29;D30;-29;Saint-Rivoal;frabre.d003029riv
frabred29;D30A;-29;;frabre.d0030a29
frabred29;D31;-29;;frabre.d003129
frabred29;D32;-29;;frabre.d003229
frabred29;D32A;-29;;frabre.d0032a29
frabred29;D33;-29;Loperhet;frabre.d003329lop
frabred29;D33;-29;Le Tréhou;frabre.d003329
frabred29;D34;-29;;frabre.d003429
frabred29;D35;-29;Plouzévédé;frabre.d003529
frabred29;D35;-29;La Martyre;frabre.d003529mar
frabred29;D36;-29;;frabre.d003629
frabred29;D37;-29;;frabre.d003729
frabred29;D37A;-29;;frabre.d0037a29
frabred29;D38;-29;Plouvien;frabre.d003829
frabred29;D38;-29;Saint-Renan;frabre.d003829ren
frabred29;D38;-29;Plouzané;frabre.d003829plo
frabred29;D39;-29;;frabre.d003929
frabred29;D40;-29;;frabre.d004029
frabred29;D41;-29;;frabre.d004129
frabred29;D42;-29;;frabre.d004229
frabred29;D42A;-29;;frabre.d0042a29
frabred29;D43;-29;;frabre.d004329
frabred29;D43A;-29;;frabre.d0043a29
frabred29;D44;-29;;frabre.d004429
frabred29;D45;-29;;frabre.d004529
frabred29;D45A;-29;;frabre.d0045a29
frabred29;D46;-29;;frabre.d004629
frabred29;D46A;-29;;frabre.d0046a29
frabred29;D47;-29;Irvillac;frabre.d004729
frabred29;D47;-29;Rosnoën;frabre.d004729ros
frabred29;D47;-29;Plomodiern;frabre.d004729plo
frabred29;D47A;-29;;frabre.d0047a29
frabred29;D48;-29;;frabre.d004829
frabred29;D48A1;-29;;frabre.d0048a129
frabred29;D48A2;-29;;frabre.d0048a229
frabred29;D49;-29;Querrien;frabre.d004929que
frabred29;D49;-29;Clohars-Carnoët;frabre.d004929
frabred29;D50;-29;;frabre.d005029
frabred29;D51;-29;;frabre.d005129
frabred29;D52;-29;;frabre.d005229
frabred29;D53;-29;;frabre.d005329
frabred29;D54;-29;;frabre.d005429
frabred29;D55;-29;;frabre.d005529
frabred29;D55A;-29;;frabre.d0055a29
frabred29;D55B;-29;;frabre.d0055b29
frabred29;D56;-29;;frabre.d005629
frabred29;D56B;-29;;frabre.d0056b29
frabred29;D56C;-29;;frabre.d0056c29
frabred29;D57;-29;Douarnenez;frabre.d005729dou
frabred29;D57;-29;Plonéour-Lanvern;frabre.d005729
frabred29;D58;-29;;frabre.d005829
frabred29;D59;-29;;frabre.d005929
frabred29;D60;-29;;frabre.d006029
frabred29;D61;-29;;frabre.d006129
frabred29;D62;-29;;frabre.d006229
frabred29;D63;-29;;frabre.d006329
frabred29;D64;-29;;frabre.d006429
frabred29;D64A;-29;;frabre.d0064a29
frabred29;D65;-29;;frabre.d006529
frabred29;D67;-29;Saint-Renan;frabre.d006729
frabred29;D67;-29;Le Relecq-Kerhuon;frabre.d006729rel
frabred29;D68;-29;;frabre.d006829
frabred29;D69;-29;;frabre.d006929
frabred29;D70;-29;Rosporden;frabre.d007029ros
frabred29;D70;-29;Concarneau;frabre.d007029
frabred29;D71;-29;;frabre.d007129
frabred29;D71A;-29;;frabre.d0071a29
frabred29;D72;-29;;frabre.d007229
frabred29;D73;-29;;frabre.d007329
frabred29;D73A;-29;;frabre.d0073a29
frabred29;D74;-29;;frabre.d007429
frabred29;D75;-29;;frabre.d007529
frabred29;D76;-29;;frabre.d007629
frabred29;D77;-29;;frabre.d007729
frabred29;D78;-29;;frabre.d007829
frabred29;D79;-29;;frabre.d007929
frabred29;D79A;-29;;frabre.d0079a29
frabred29;D80;-29;;frabre.d008029
frabred29;D81;-29;;frabre.d008129
frabred29;D82;-29;;frabre.d008229
frabred29;D83;-29;;frabre.d008329
frabred29;D84;-29;;frabre.d008429
frabred29;D85;-29;;frabre.d008529
frabred29;D85A;-29;;frabre.d0085a29
frabred29;D86;-29;;frabre.d008629
frabred29;D87;-29;;frabre.d008729
frabred29;D88;-29;;frabre.d008829
frabred29;D89;-29;;frabre.d008929
frabred29;D100;-29;;frabre.d010029
frabred29;D102;-29;;frabre.d010229
frabred29;D103;-29;;frabre.d010329
frabred29;D104;-29;;frabre.d010429
frabred29;D105;-29;;frabre.d010529
frabred29;D106;-29;;frabre.d010629
frabred29;D107;-29;;frabre.d010729
frabred29;D108;-29;;frabre.d010829
frabred29;D109;-29;;frabre.d010929
frabred29;D110;-29;;frabre.d011029
frabred29;D111;-29;;frabre.d011129
frabred29;D111A;-29;;frabre.d0111a29
frabred29;D112;-29;;frabre.d011229
frabred29;D113;-29;;frabre.d011329
frabred29;D114;-29;;frabre.d011429
frabred29;D115;-29;;frabre.d011529
frabred29;D116;-29;;frabre.d011629
frabred29;D117;-29;;frabre.d011729
frabred29;D118;-29;;frabre.d011829
frabred29;D121;-29;;frabre.d012129
frabred29;D122;-29;;frabre.d012229
frabred29;D123;-29;;frabre.d012329
frabred29;D124;-29;;frabre.d012429
frabred29;D125;-29;;frabre.d012529
frabred29;D127;-29;;frabre.d012729
frabred29;D128;-29;;frabre.d012829
frabred29;D128A;-29;;frabre.d0128a29
frabred29;D129;-29;;frabre.d012929
frabred29;D130;-29;;frabre.d013029
frabred29;D131;-29;;frabre.d013129
frabred29;D134;-29;;frabre.d013429
frabred29;D136;-29;;frabre.d013629
frabred29;D140;-29;;frabre.d014029
frabred29;D141;-29;;frabre.d014129
frabred29;D142;-29;;frabre.d014229
frabred29;D143;-29;;frabre.d014329
frabred29;D144;-29;;frabre.d014429
frabred29;D145;-29;;frabre.d014529
frabred29;D148;-29;;frabre.d014829
frabred29;D149;-29;;frabre.d014929
frabred29;D150;-29;;frabre.d015029
frabred29;D151;-29;;frabre.d015129
frabred29;D153;-29;;frabre.d015329
frabred29;D154;-29;;frabre.d015429
frabred29;D155;-29;;frabre.d015529
frabred29;D156;-29;;frabre.d015629
frabred29;D159;-29;;frabre.d015929
frabred29;D163;-29;;frabre.d016329
frabred29;D165;-29;;frabre.d016529
frabred29;D166;-29;;frabre.d016629
frabred29;D167;-29;;frabre.d016729
frabred29;D168;-29;;frabre.d016829
frabred29;D173;-29;;frabre.d017329
frabred29;D177;-29;;frabre.d017729
frabred29;D181;-29;;frabre.d018129
frabred29;D205;-29;;frabre.d020529
frabred29;D207;-29;;frabre.d020729
frabred29;D208;-29;;frabre.d020829
frabred29;D210;-29;;frabre.d021029
frabred29;D211;-29;;frabre.d021129
frabred29;D216;-29;;frabre.d021629
frabred29;D217;-29;;frabre.d021729
frabred29;D219;-29;;frabre.d021929
frabred29;D222;-29;;frabre.d022229
frabred29;D224;-29;;frabre.d022429
frabred29;D228;-29;;frabre.d022829
frabred29;D229;-29;;frabre.d022929
frabred29;D230;-29;;frabre.d023029
frabred29;D231;-29;;frabre.d023129
frabred29;D233;-29;;frabre.d023329
frabred29;D234;-29;;frabre.d023429
frabred29;D236;-29;;frabre.d023629
frabred29;D237;-29;;frabre.d023729
frabred29;D240;-29;;frabre.d024029
frabred29;D241;-29;;frabre.d024129
frabred29;D242;-29;;frabre.d024229
frabred29;D243;-29;;frabre.d024329
frabred29;D247;-29;;frabre.d024729
frabred29;D254;-29;;frabre.d025429
frabred29;D255;-29;;frabre.d025529
frabred29;D264;-29;;frabre.d026429
frabred29;D266;-29;;frabre.d026629
frabred29;D267;-29;;frabre.d026729
frabred29;D268;-29;;frabre.d026829
