systemName;route;banner;groupName;roots
deunil;L1;;;deuni.l001
deunil;L2;;Krummhörn;deuni.l002kru
deunil;L2;;Neermoor;deuni.l002
deunil;L3;;;deuni.l003
deunil;L4;;;deuni.l004
deunil;L5;;;deuni.l005
deunil;L6;;;deuni.l006
deunil;L7;;;deuni.l007
deunil;L8;;;deuni.l008
deunil;L10;;;deuni.l010
deunil;L11;;;deuni.l011
deunil;L12;;;deuni.l012
deunil;L14;;;deuni.l014
deunil;L15;;;deuni.l015
deunil;L16;;;deuni.l016
deunil;L17;;Wymeer;deuni.l017
deunil;L17;;Bunde;deuni.l017bun
deunil;L18;;;deuni.l018
deunil;L21;;;deuni.l021
deunil;L24;;;deuni.l024
deunil;L25;;;deuni.l025
deunil;L26;;;deuni.l026
deunil;L27;;;deuni.l027
deunil;L30;;;deuni.l030
deunil;L31;;;deuni.l031
deunil;L32;;;deuni.l032
deunil;L34;;;deuni.l034
deunil;L39;;;deuni.l039
deunil;L40;;;deuni.l040
deunil;L42;;;deuni.l042
deunil;L43;;;deuni.l043
deunil;L44;;(Main);deuni.l044
deunil;L44;;Emlichheim;deuni.l044eml
deunil;L45;;;deuni.l045
deunil;L46;;;deuni.l046
deunil;L47;;;deuni.l047
deunil;L48;;;deuni.l048
deunil;L50;;;deuni.l050
deunil;L51;;;deuni.l051
deunil;L52;;;deuni.l052
deunil;L53;;;deuni.l053
deunil;L54;;;deuni.l054
deunil;L55;;;deuni.l055
deunil;L56;;;deuni.l056
deunil;L57;;;deuni.l057
deunil;L58;;;deuni.l058
deunil;L59;;;deuni.l059
deunil;L60;;;deuni.l060
deunil;L61;;;deuni.l061
deunil;L62;;;deuni.l062
deunil;L63;;;deuni.l063
deunil;L65;;;deuni.l065
deunil;L66;;;deuni.l066
deunil;L67;;;deuni.l067
deunil;L68;;;deuni.l068
deunil;L70;;;deuni.l070
deunil;L71;;;deuni.l071
deunil;L72;;;deuni.l072
deunil;L73;;;deuni.l073
deunil;L74;;;deuni.l074
deunil;L75;;;deuni.l075
deunil;L76;;;deuni.l076
deunil;L77;;;deuni.l077
deunil;L78;;;deuni.l078
deunil;L79;;;deuni.l079
deunil;L80;;;deuni.l080
deunil;L81;;;deuni.l081
deunil;L82;;;deuni.l082
deunil;L83;;;deuni.l083
deunil;L84;;;deuni.l084
deunil;L85;;;deuni.l085
deunil;L87;;;deuni.l087
deunil;L88;;;deuni.l088
deunil;L89;;;deuni.l089
deunil;L90;;;deuni.l090
deunil;L91;;;deuni.l091
deunil;L92;;;deuni.l092
deunil;L93;;;deuni.l093
deunil;L94;;;deuni.l094
deunil;L95;;;deuni.l095
deunil;L96;;;deuni.l096
deunil;L97;;;deuni.l097
deunil;L98;;;deuni.l098
deunil;L100;;;deuni.l100
deunil;L102;;;deuni.l102
deunil;L105;;;deuni.l105
deunil;L106;;;deuni.l106
deunil;L107;;;deuni.l107
deunil;L108;;;deuni.l108
deunil;L109;;;deuni.l109
deunil;L111;;;deuni.l111
deunil;L113;;;deuni.l113
deunil;L114;;;deuni.l114
deunil;L116;;;deuni.l116
deunil;L117;;;deuni.l117
deunil;L118;;;deuni.l118
deunil;L119;;;deuni.l119
deunil;L120;;;deuni.l120
deunil;L121;;;deuni.l121
deunil;L122;;;deuni.l122
deunil;L123;;;deuni.l123
deunil;L124;;;deuni.l124
deunil;L125;;;deuni.l125
deunil;L127;;;deuni.l127
deunil;L128;;;deuni.l128
deunil;L129;;;deuni.l129
deunil;L130;;;deuni.l130
deunil;L131;;;deuni.l131
deunil;L132;;;deuni.l132
deunil;L133;;;deuni.l133
deunil;L134;;;deuni.l134
deunil;L135;;Geestland;deuni.l135gee
deunil;L135;;Hagen im Bremischen;deuni.l135
deunil;L140;;(Main);deuni.l140
deunil;L140;;Königreich;deuni.l140kon
deunil;L141;;;deuni.l141
deunil;L142;;;deuni.l142
deunil;L143;;;deuni.l143
deunil;L144;;;deuni.l144
deunil;L149;;;deuni.l149
deunil;L151;;;deuni.l151
deunil;L153;;;deuni.l153
deunil;L154;;;deuni.l154
deunil;L155;;;deuni.l155
deunil;L156;;;deuni.l156
deunil;L157;;;deuni.l157
deunil;L158;;;deuni.l158
deunil;L159;;;deuni.l159
deunil;L160;;;deuni.l160
deunil;L161;;;deuni.l161
deunil;L163;;;deuni.l163
deunil;L165;;;deuni.l165
deunil;L167;;;deuni.l167
deunil;L168;;;deuni.l168
deunil;L170;;;deuni.l170
deunil;L171;;;deuni.l171
deunil;L180;;;deuni.l180
deunil;L190;;;deuni.l190
deunil;L191;;;deuni.l191
deunil;L192;;;deuni.l192
deunil;L193;;;deuni.l193
deunil;L200;;;deuni.l200
deunil;L201;;;deuni.l201
deunil;L202;;;deuni.l202
deunil;L203;;;deuni.l203
deunil;L211;;;deuni.l211
deunil;L212;;;deuni.l212
deunil;L213;;;deuni.l213
deunil;L215;;;deuni.l215
deunil;L216;;;deuni.l216
deunil;L217;;;deuni.l217
deunil;L219;;;deuni.l219
deunil;L221;;;deuni.l221
deunil;L222;;;deuni.l222
deunil;L223;;Bleckede;deuni.l223ble
deunil;L223;;Neu Wendischthun;deuni.l223
deunil;L224;;;deuni.l224
deunil;L231;;;deuni.l231
deunil;L232;;Neuhaus;deuni.l232neu
deunil;L232;;Neu Darchau;deuni.l232dar
deunil;L232;;Bad Bevensen;deuni.l232
deunil;L233;;;deuni.l233
deunil;L234;;;deuni.l234
deunil;L235;;Rübke;deuni.l235rub
deunil;L235;;Elstorf;deuni.l235
deunil;L240;;;deuni.l240
deunil;L244;;;deuni.l244
deunil;L250;;;deuni.l250
deunil;L252;;;deuni.l252
deunil;L253;;;deuni.l253
deunil;L254;;;deuni.l254
deunil;L255;;;deuni.l255
deunil;L256;;;deuni.l256
deunil;L258;;;deuni.l258
deunil;L259;;;deuni.l259
deunil;L260;;;deuni.l260
deunil;L261;;;deuni.l261
deunil;L262;;;deuni.l262
deunil;L263;;;deuni.l263
deunil;L265;;;deuni.l265
deunil;L266;;;deuni.l266
deunil;L270;;;deuni.l270
deunil;L280;;;deuni.l280
deunil;L281;;Celle;deuni.l281
deunil;L282;;Wittingen;deuni.l282wit
deunil;L282;;;deuni.l282
deunil;L283;;;deuni.l283
deunil;L284;;;deuni.l284
deunil;L286;;;deuni.l286
deunil;L287;;;deuni.l287
deunil;L288;;;deuni.l288
deunil;L289;;;deuni.l289
deunil;L290;;;deuni.l290
deunil;L291;;;deuni.l291
deunil;L292;;;deuni.l292
deunil;L293;;;deuni.l293
deunil;L294;;;deuni.l294
deunil;L295;;;deuni.l295
deunil;L297;;;deuni.l297
deunil;L298;;;deuni.l298
deunil;L299;;;deuni.l299
deunil;L310;;;deuni.l310
deunil;L311;;;deuni.l311
deunil;L320;;;deuni.l320
deunil;L321;;;deuni.l321
deunil;L322;;;deuni.l322
deunil;L330;;;deuni.l330
deunil;L331;;;deuni.l331
deunil;L332;;;deuni.l332
deunil;L333;;;deuni.l333
deunil;L334;;;deuni.l334
deunil;L335;;;deuni.l335
deunil;L336;;;deuni.l336
deunil;L337;;;deuni.l337
deunil;L338;;;deuni.l338
deunil;L340;;;deuni.l340
deunil;L341;;;deuni.l341
deunil;L342;;;deuni.l342
deunil;L343;;;deuni.l343
deunil;L344;;;deuni.l344
deunil;L345;;;deuni.l345
deunil;L346;;;deuni.l346
deunil;L347;;;deuni.l347
deunil;L348;;;deuni.l348
deunil;L349;;(Main);deuni.l349
deunil;L349;;Kirchdorf;deuni.l349kir
deunil;L350;;;deuni.l350
deunil;L351;;;deuni.l351
deunil;L352;;;deuni.l352
deunil;L354;;;deuni.l354
deunil;L356;;;deuni.l356
deunil;L360;;;deuni.l360
deunil;L370;;;deuni.l370
deunil;L371;;;deuni.l371
deunil;L372;;;deuni.l372
deunil;L380;;;deuni.l380
deunil;L381;;;deuni.l381
deunil;L382;;;deuni.l382
deunil;L383;;;deuni.l383
deunil;L384;;;deuni.l384
deunil;L385;;;deuni.l385
deunil;L387;;;deuni.l387
deunil;L388;;;deuni.l388
deunil;L389;;;deuni.l389
deunil;L390;;;deuni.l390
deunil;L391;;(Main);deuni.l391
deunil;L391;;Wennigsen;deuni.l391wen
deunil;L392;;;deuni.l392
deunil;L393;;;deuni.l393
deunil;L395;;;deuni.l395
deunil;L563;;Uschlag;deuni.l563usc
deunil;L563;;Escherode;deuni.l563
deunil;L565;;;deuni.l565
