systemName;route;banner;groupName;roots
rusa;A103;;;rus.a103
rusa;A104;;;rus.a104
rusa;A105;;;rus.a105
rusa;A106;;;rus.a106
rusa;A107;;;rus.a107
rusa;A108;;;rus.a108
rusa;A109;;;rus.a109
rusa;A111;;;rus.a111
rusa;A112;;;rus.a112
rusa;A114;;;rus.a114
rusa;A118;;;rus.a118
rusa;A120;;;rus.a120
rusa;A135;;;rus.a135
rusa;A142;;;rus.a142
rusa;A146;;;rus.a146
rusa;A147;;;rus.a147
rusa;A161;;;rus.a161
rusa;A180;;"Narva";rus.a180
rusa;A181;;"Scandinavia";rus.a181
rusa;A212;;;rus.a212
rusa;A216;;;rus.a216
rusa;A217;;;rus.a217
rusa;A229;;;rus.a229
rusa;A231;;;crm.a231
rusa;A241;;;crm.a241
rusa;A252;;;crm.a252
rusa;A254;;;crm.a254
rusa;A255;;;crm.a255
rusa;A260;;;rus.a260
rusa;A270;;;rus.a270
rusa;A280;;;rus.a280
rusa;A290;;;rus.a290,crm.a290
rusa;A300;;;rus.a300
rusa;A310;;;rus.a310
rusa;A320;;;rus.a320
rusa;A322;;;rus.a322
rusa;A331;;"Vilyuy" Bratsk;rus.a331
rusa;A331;;"Vilyuy" Novyj;rus.a331nov
rusa;A331;;"Vilyuy" Suntar;rus.a331sun
rusa;A331;;"Vilyuy" Uste;rus.a331ust
rusa;A331;;"Vilyuy" Njuba;rus.a331nju
rusa;A331;;"Vilyuy" Yakustk;rus.a331yak
rusa;A333;;;rus.a333
rusa;A340;;;rus.a340
rusa;A350;;;rus.a350
rusa;A360;;"Lena";rus.a360
rusa;A361;;;rus.a361
rusa;A370;;"Ussuri";rus.a370
rusa;A371;;;rus.a371
rusa;A375;;"Vostok";rus.a375
rusa;A381;;;rus.a381
rusa;A382;;;rus.a382
rusa;A383;;;rus.a383
rusa;A384;;;rus.a384
rusa;A391;;;rus.a391
rusa;A392;;;rus.a392
rusa;A401;;;rus.a401
