system;route;banner;name;roots
autl4;L501;-4;Weilhartstraße (Main);aut.l05014
autl4;L501;-4;Weilhartstraße (Duttendorf);aut.l05014dut
autl4;L501;-4;Weilhartstraße (Wanghausen);aut.l05014wan
autl4;L502;-4;Simbacher Straße;aut.l05024
autl4;L503;-4;Oberinnviertler Straße;aut.l05034
autl4;L504;-4;Frankinger Straße;aut.l05044
autl4;L505;-4;Mattseer Straße;aut.l05054
autl4;L506;-4;Schärdinger Straße;aut.l05064
autl4;L507;-4;Wildenauer Straße;aut.l05074
autl4;L508;-4;Kobernaußer Straße;aut.l05084
autl4;L509;-4;Frankenburger Straße;aut.l05094
autl4;L509a;-4;Frankenburger Straße - Ausästung Ried;aut.l0509a4
autl4;L510;-4;Weilbacher Straße;aut.l05104
autl4;L511;-4;Gurtener Straße;aut.l05114
autl4;L512;-4;Reichersberger Straße;aut.l05124
autl4;L513;-4;Unterinnviertler Straße (Taiskirchen);aut.l05134
autl4;L513;-4;Unterinnviertler Straße (Ried);aut.l05134rie
autl4;L514;-4;Andorfer Straße;aut.l05144
autl4;L515;-4;Eisenbirner Straße;aut.l05154
autl4;L516;-4;Raaber Straße;aut.l05164
autl4;L517;-4;Keßlastraße;aut.l05174
autl4;L518;-4;Rottenbacher Straße;aut.l05184
autl4;L519;-4;Innbachtalstraße;aut.l05194
autl4;L520;-4;Gaspoltshofener Straße;aut.l05204
autl4;L521;-4;Wolfsegger Straße;aut.l05214
autl4;L522;-4;Antiesenhofener Straße;aut.l05224
autl4;L525;-4;Michaelnbach-Stauff-Straße;aut.l05254
autl4;L528;-4;Grieskirchner Straße;aut.l05284
autl4;L529;-4;Grieskirchner Straße - Abzw. Schlüßlberg;aut.l05294
autl4;L531;-4;Schartener Straße;aut.l05314
autl4;L532;-4;Hörschinger Straße;aut.l05324
autl4;L533;-4;Flughafenstraße;aut.l05334
autl4;L534;-4;Marchtrenker Straße;aut.l05344
autl4;L536;-4;Pettenbacher Straße;aut.l05364
autl4;L537;-4;Sattledter Straße;aut.l05374
autl4;L538;-4;Pichlwanger Straße;aut.l05384
autl4;L539;-4;Thalgaustraße;aut.l05394
autl4;L540;-4;Attergaustraße;aut.l05404
autl4;L541;-4;Oberwanger Straße;aut.l05414
autl4;L541a;-4;Oberwanger Straße - Ausästung;aut.l0541a4
autl4;L543;-4;Kienbergwandstraße;aut.l05434
autl4;L544;-4;Großalmstraße;aut.l05444
autl4;L545;-4;Kienklausestraße;aut.l05454
autl4;L546;-4;St.-Wolfgang-Straße (Main);aut.l05464
autl4;L546;-4;St.-Wolfgang-Straße (Schwarzenbach);aut.l05464sch
autl4;L547;-4;Hallstätterseestraße;aut.l05474
autl4;L548;-4;Hallstattstraße;aut.l05484
autl4;L549;-4;Almseestraße;aut.l05494
autl4;L550;-4;Hengstpassstraße;aut.l05504
autl4;L551;-4;Vorderstoderstraße;aut.l05514
autl4;L552;-4;Stodertalstraße;aut.l05524
autl4;L553;-4;Ziehbergstraße;aut.l05534
autl4;L554;-4;Schlierbacher Straße;aut.l05544
autl4;L555;-4;Waldneukirchener Straße;aut.l05554
autl4;L556;-4;Nußbacher Straße;aut.l05564
autl4;L557;-4;Großramingstraße;aut.l05574
autl4;L558;-4;Losensteinstraße;aut.l05584
autl4;L559;-4;Kleinramingstraße (Steyr);aut.l05594ste
autl4;L559;-4;Kleinramingstraße (Winterhöhe);aut.l05594win
autl4;L559;-4;Kleinramingstraße (Kleinraming);aut.l05594kle
autl4;L559;-4;Kleinramingstraße (Hausmann);aut.l05594hau
autl4;L559;-4;Kleinramingstraße (Maria Neustift);aut.l05594
autl4;L560;-4;Ramingdorfer Straße;aut.l05604
autl4;L561;-4;Bad Haller Straße;aut.l05614
autl4;L562;-4;Kremsmünsterer Straße;aut.l05624
autl4;L563;-4;Traunuferstraße;aut.l05634
autl4;L563a;-4;Traunuferstraße - Abzw. Traun;aut.l0563a4
autl4;L564;-4;Wolferner Straße;aut.l05644
autl4;L565;-4;Sierninger Straße;aut.l05654
autl4;L566;-4;Ipfstraße;aut.l05664
autl4;L567;-4;Thalheimer Straße;aut.l05674
autl4;L568;-4;Ennser Straße;aut.l05684
autl4;L569;-4;Pleschinger Straße;aut.l05694
autl4;L570;-4;Machlandstraße;aut.l05704
autl4;L571;-4;Kronstorfer Straße;aut.l05714
autl4;L572;-4;Naarntalstraße;aut.l05724
autl4;L573;-4;Greinerwaldstraße;aut.l05734
autl4;L575;-4;Sarmingstraße;aut.l05754
autl4;L576;-4;Mühlviertler Alm Straße;aut.l05764
