systemName;route;banner;groupName;roots
usanht;CATrl;;California Trail (Nevada);nv.catrl
usanht;CATrl;;California Trail (Idaho - W. Wyoming);id.catrl,wy.catrl
usanht;CATrl;;California Trail (E. Wyoming);wy.catrltor
usanht;CATrl;;California Trail (Colorado);co.catrl
usanht;CATrl;;California Trail (Kansas);ks.catrl
usanht;CATrl;;California Trail (Stateline, NV);nv.catrlsta
usanht;CATrl;;California Trail (City of Rocks, ID);id.catrlcor
usanht;CATrl;;California Trail (Utah);ut.catrl
usanht;CATrl;;California Trail (St Josephs, MO);ks.catrlhia,mo.catrlstj
usanht;CATrl;;California Trail (Local Tour Route, Kansas City, KS/MO);ks.catrlola,mo.catrl
usanht;LCTrl;;Lewis & Clark Auto Trail (Ohio - Indiana);oh.lctrl,in.lctrl
usanht;LCTrl;;Lewis & Clark Auto Trail (Missouri);mo.lctrl
usanht;LCTrl;;Lewis & Clark Auto Trail (Iowa - Washington);ia.lctrl,sd.lctrl,nd.lctrl,mt.lctrl,id.lctrlsac,mt.lctrlbit,id.lctrl,wa.lctrl
usanht;LCTrl;;Lewis & Clark Auto Trail (Astoria, OR);or.lctrl
usanht;LCTrl;;Lewis & Clark Auto Trail (Hermiston, OR);or.lctrlher
usanht;LCTrl;;Lewis & Clark Auto Trail (Montana - Nebraska);mt.lctrlbla,nd.lctrlwes,sd.lctrlwes,ne.lctrl
usanht;LCTrl;;Lewis & Clark Auto Trail (Kansas-Missouri);ks.lctrl,mo.lctrlsou
usanht;LCTrl;;Lewis & Clark Auto Trail (Kentucky);ky.lctrl
usanht;LCTrl;;Lewis & Clark Backwater Byway;id.lctrlbac
usanht;LCTrl;;Lewis & Clark Auto Trail (Yellowstone River, MT);mt.lctrlyel
usanht;LCTrl;;Lewis & Clark Auto Trail (Turtle Mountain, MT);mt.lctrltur
usanht;LCTrl;;Lewis & Clark Auto Trail (Yellowstone River, ND);nd.lctrlyel
usanht;LCTrl;;Lewis & Clark Auto Trail (Keene, ND);nd.lctrlkee
usanht;LCTrl;;Lewis & Clark Auto Trail (New Town, ND);nd.lctrlnew
usanht;LCTrl;;Lewis & Clark Auto Trail (Pick City, ND);nd.lctrlpic
usanht;LCTrl;;Lewis & Clark Auto Trail (Washburn, ND);nd.lctrlwas
usanht;LCTrl;;Lewis & Clark Auto Trail (Bismarck, ND);nd.lctrlbis
usanht;LCTrl;;Lewis & Clark Auto Trail ((South) Bismarck, ND);nd.lctrlsbi
usanht;LCTrl;;Lewis & Clark Auto Trail (Mobridge, SD);sd.lctrlmob
usanht;LCTrl;;Lewis & Clark Auto Trail (Pierre, SD);sd.lctrlpie
usanht;LCTrl;;Lewis & Clark Auto Trail (Weston, MO);mo.lctrlwes
usanht;LCTrl;;Lewis & Clark Auto Trail (Miami, MO);mo.lctrlmia
usanht;MPTrl;;Mormon Pioneer Trail (Utah - W. Wyoming);ut.mptrl,wy.mptrl
usanht;MPTrl;;Mormon Pioneer Trail (E. Wyoming);wy.mptrltor
usanht;MPTrl;;Mormon Pioneer Trail (Iowa);ia.mptrl
usanht;NPTrl;;Nez Perce Trail;or.nptrl,wa.nptrl,id.nptrl,mt.nptrllol,id.nptrllos,mt.nptrljac,id.nptrllea,mt.nptrlwye,wy.nptrl,mt.nptrlcoo,wy.nptrlsun,mt.nptrl
usanht;OSTrl;;Old Spanish Trail (Santa Fe, NM);nm.ostrlsfe
usanht;OSTrl;;Old Spanish Trail ((central) Taos, NM);nm.ostrlcta
usanht;OSTrl;;Old Spanish Trail (Questa, NM);nm.ostrl
usanht;OSTrl;;Old Spanish Trail (San Luis, CO);co.ostrl
usanht;OSTrl;;Old Spanish Trail (Enoch, UT);ut.ostrl
usanht;OSTrl;;Old Spanish Trail (Mesquite, NV);nv.ostrlmes
usanht;OSTrl;;Old Spanish Trail (Moapa, NV);nv.ostrlmoa
usanht;OSTrl;;Old Spanish Trail (Pahrumph Valley, NV);nv.ostrlpah
usanht;OSTrl;;Old Spanish Trail (Tecopa, CA);ca.ostrl
usanht;OSTrl;;Old Spanish Trail ((west) Taos, NM);nm.ostrlwta
usanht;OSTrl;;Old Spanish Trail (Searchlight, NV);nv.ostrl
usanht;OSTrl;;Old Spanish Trail (Goodsprings, NV);nv.ostrlgoo
usanht;OSTrl;;Old Spanish Trail Northern Route (Española, NM);nm.ostrlesp
usanht;ORTrl;;Oregon Trail (Wasco, OR);or.ortrlwas
usanht;ORTrl;;Oregon Trail (Echo, OR);or.ortrl
usanht;ORTrl;;Oregon Trail (Nyssa, OR);or.ortrlnys
usanht;ORTrl;;Oregon Trail (Idaho - W. Wyoming);id.ortrl,wy.ortrl
usanht;ORTrl;;Oregon Trail (E. Wyoming);wy.ortrltor
usanht;ORTrl;;Oregon Trail (Kansas);ks.ortrl
usanht;ORTrl;;Oregon Trail (Barlow Road Route);or.ortrlbar
usanht;ORTrl;;Oregon Trail (Barlow Road Cutoff);or.ortrlbcu
usanht;ORTrl;;Oregon Trail (Boardman, OR);or.ortrlbor
usanht;ORTrl;;Oregon Trail (Goodales Cutoff);id.ortrlgoo
usanht;ORTrl;;Oregon Trail (Back Country Byway);id.ortrlgle
usanht;ORTrl;;Oregon Trail (Bear Lake Scenic Byway);id.ortrlbea
usanht;ORTrl;;Oregon Trail (Local Tour Route, Kansas City, KS/MO);ks.ortrlola,mo.ortrl
usanht;OVTrl;;Overland Victory Trail;va.ovtrl,tn.ovtrl,nc.ovtrl,sc.ovtrl
usanht;OVTrl;;Overland Victory Trail (Surry County Fork);nc.ovtrllen
usanht;PETrl;;Pony Express Trail (Nevada);nv.petrl
usanht;PETrl;;Pony Express Trail (W. Utah);ut.petrlnbb
usanht;PETrl;;Pony Express Trail (E. Utah - W. Wyoming);ut.petrl,wy.petrl
usanht;PETrl;;Pony Express Trail (E. Wyoming);wy.petrltor
usanht;PETrl;;Pony Express Trail (Colorado);co.petrl
usanht;PETrl;;Pony Express Trail (Kansas - Missouri);ks.petrl,mo.petrl
usanht;PETrl;;Pony Express Trail (Sheridan, NV);nv.petrlshe
usanht;SFTrl;;Santa Fe Trail (New Mexico);nm.sftrl
usanht;SFTrl;;Santa Fe Trail (Kansas - Missouri);ks.sftrl,mo.sftrl
usanht;SFTrl;;Santa Fe Trail (Fort Union, NM);nm.sftrlfor
usanht;SFTrl;;Santa Fe Trail (Mountain Route);nm.sftrlrat,co.sftrl,ks.sftrlgar
usanht;SFTrl;;Santa Fe Trail (Sugar Creek, MO);mo.sftrlsug
usanht;SFTrl;;Santa Fe Trail (Arrow Rock, MO);mo.sftrlarr
usanht;SMTrl;;Selma - Montgomery Trail;al.smtrl
usanht;TTTrl;;Trail of Tears Trail (Arkansas - Missouri);ar.tttrl,mo.tttrl
usanht;TTTrl;;Trail of Tears Trail (Kentucky);ky.tttrl
usanht;WRTrl;;Washington-Rochambeau Revolutionary Route (Rhode Island);ri.wrtrl
usanht;WRTrl;;Washington-Rochambeau Revolutionary Route (Virginia);va.wrtrl
