System;Route;Banner;Name;Roots
nzlmot;AucNMot;;Auckland Northern Motorway;nzl.aucnmot
nzlmot;AucNWMot;;Auckland Northwestern Motorway;nzl.aucnwmot
nzlmot;AucSMot;;Auckland Southern Motorway;nzl.aucsmot
nzlmot;AucSWMot;;Auckland Southwestern Motorway;nzl.aucswmot
nzlmot;ChrLytMot;;Christchurch - Lyttelton Motorway;nzl,chrlytmot
nzlmot;ChrNMot;;Christchurch Northern Motorway;nzl.chrnmot
nzlmot;ChrSMot;;Christchurch Southern Motorway;nzl.chrsmot
nzlmot;DunSMot;;Dunedin Southern Motorway;nzl.dunsmot
nzlmot;JohPorMot;;Johnsonville-Porirau Motorway;nzl.johpormot
nzlmot;UppHarMot;;Upper Harbour Motorway;nzl.uppharmot
nzlmot;WelUrbMot;;Wellington Urban Motorway;nzl.welurbmot
