system;route;banner;name;roots
hrvz;Z1006;;;hrv.z1006
hrvz;Z1036;;;hrv.z1036
hrvz;Z1037;;;hrv.z1037
hrvz;Z1046;;;hrv.z1046
hrvz;Z2002;;;hrv.z2002
hrvz;Z2003;;;hrv.z2003
hrvz;Z2004;;;hrv.z2004
hrvz;Z2005;;;hrv.z2005
hrvz;Z2006;;;hrv.z2006
hrvz;Z2007;;;hrv.z2007
hrvz;Z2008;;;hrv.z2008
hrvz;Z2009;;;hrv.z2009
hrvz;Z2010;;;hrv.z2010
hrvz;Z2011;;;hrv.z2011
hrvz;Z2012;;;hrv.z2012
hrvz;Z2013;;;hrv.z2013
hrvz;Z2014;;;hrv.z2014
hrvz;Z2015;;;hrv.z2015
hrvz;Z2016;;;hrv.z2016
hrvz;Z2017;;;hrv.z2017
hrvz;Z2018;;;hrv.z2018
hrvz;Z2019;;;hrv.z2019
hrvz;Z2020;;Gornji Kuršanec;hrv.z2020
hrvz;Z2020;;Nedelišće;hrv.z2020ned
hrvz;Z2020;;Strahoninec;hrv.z2020str
hrvz;Z2022;;;hrv.z2022
hrvz;Z2023;;;hrv.z2023
hrvz;Z2024;;;hrv.z2024
hrvz;Z2026;;;hrv.z2026
hrvz;Z2027;;;hrv.z2027
hrvz;Z2028;;;hrv.z2028
hrvz;Z2029;;;hrv.z2029
hrvz;Z2033;;;hrv.z2033
hrvz;Z2034;;;hrv.z2034
hrvz;Z2035;;;hrv.z2035
hrvz;Z2036;;;hrv.z2036
hrvz;Z2037;;;hrv.z2037
hrvz;Z2038;;;hrv.z2038
hrvz;Z2039;;;hrv.z2039
hrvz;Z2040;;;hrv.z2040
hrvz;Z2041;;;hrv.z2041
hrvz;Z2042;;;hrv.z2042
hrvz;Z2043;;;hrv.z2043
hrvz;Z2044;;;hrv.z2044
hrvz;Z2045;;;hrv.z2045
hrvz;Z2046;;;hrv.z2046
hrvz;Z2048;;;hrv.z2048
hrvz;Z2050;;;hrv.z2050
hrvz;Z2052;;;hrv.z2052
hrvz;Z2053;;;hrv.z2053
hrvz;Z2054;;;hrv.z2054
hrvz;Z2055;;;hrv.z2055
hrvz;Z2056;;;hrv.z2056
hrvz;Z2057;;;hrv.z2057
hrvz;Z2058;;;hrv.z2058
hrvz;Z2059;;;hrv.z2059
hrvz;Z2060;;;hrv.z2060
hrvz;Z2061;;;hrv.z2061
hrvz;Z2062;;;hrv.z2062
hrvz;Z2063;;;hrv.z2063
hrvz;Z2064;;;hrv.z2064
hrvz;Z2065;;;hrv.z2065
hrvz;Z2066;;;hrv.z2066
hrvz;Z2067;;;hrv.z2067
hrvz;Z2070;;;hrv.z2070
hrvz;Z2071;;;hrv.z2071
hrvz;Z2072;;;hrv.z2072
hrvz;Z2074;;;hrv.z2074
hrvz;Z2075;;;hrv.z2075
hrvz;Z2076;;;hrv.z2076
hrvz;Z2078;;;hrv.z2078
hrvz;Z2079;;;hrv.z2079
hrvz;Z2080;;;hrv.z2080
hrvz;Z2081;;;hrv.z2081
hrvz;Z2082;;;hrv.z2082
hrvz;Z2083;;;hrv.z2083
hrvz;Z2084;;;hrv.z2084
hrvz;Z2085;;;hrv.z2085
hrvz;Z2086;;;hrv.z2086
hrvz;Z2087;;;hrv.z2087
hrvz;Z2088;;;hrv.z2088
hrvz;Z2089;;;hrv.z2089
hrvz;Z2091;;;hrv.z2091
hrvz;Z2093;;;hrv.z2093
hrvz;Z2095;;;hrv.z2095
hrvz;Z2096;;;hrv.z2096
hrvz;Z2101;;;hrv.z2101
hrvz;Z2102;;;hrv.z2102
hrvz;Z2103;;;hrv.z2103
hrvz;Z2104;;;hrv.z2104
hrvz;Z2105;;;hrv.z2105
hrvz;Z2106;;;hrv.z2106
hrvz;Z2107;;;hrv.z2107
hrvz;Z2109;;;hrv.z2109
hrvz;Z2110;;;hrv.z2110
hrvz;Z2111;;;hrv.z2111
hrvz;Z2112;;;hrv.z2112
hrvz;Z2113;;;hrv.z2113
hrvz;Z2114;;;hrv.z2114
hrvz;Z2116;;;hrv.z2116
hrvz;Z2117;;;hrv.z2117
hrvz;Z2118;;;hrv.z2118
hrvz;Z2119;;;hrv.z2119
hrvz;Z2120;;;hrv.z2120
hrvz;Z2122;;;hrv.z2122
hrvz;Z2123;;;hrv.z2123
hrvz;Z2125;;;hrv.z2125
hrvz;Z2126;;;hrv.z2126
hrvz;Z2127;;;hrv.z2127
hrvz;Z2128;;;hrv.z2128
hrvz;Z2129;;;hrv.z2129
hrvz;Z2130;;;hrv.z2130
hrvz;Z2131;;;hrv.z2131
hrvz;Z2133;;;hrv.z2133
hrvz;Z2134;;;hrv.z2134
hrvz;Z2135;;;hrv.z2135
hrvz;Z2136;;;hrv.z2136
hrvz;Z2138;;;hrv.z2138
hrvz;Z2139;;;hrv.z2139
hrvz;Z2143;;;hrv.z2143
hrvz;Z2147;;;hrv.z2147
hrvz;Z2149;;;hrv.z2149
