systemName;route;banner;groupName;roots
jpnhks;N2;;;jpn.n002
jpnhks;N2;;Kanmon Pedestrian Tunnel;jpn.n002kan
jpnhks;N2;Byp;Daini Shinmei Road (E93);jpn.n002bypdsm
jpnhks;N2;Byp;East Hiroshima Bypass;jpn.n002bypeh
jpnhks;N2;Byp;East Hiroshima Bypass west segment;jpn.n002bypehw
jpnhks;N2;Byp;Hamate Bypass;jpn.n002bypham
jpnhks;N2;Byp;Kasaoka Bypass east segment;jpn.n002bypkae
jpnhks;N2;Byp;Kakogawa-Himeiji Bypass;jpn.n002bypkak
jpnhks;N2;Byp;Kasaoka Bypass;jpn.n002bypkas
jpnhks;N2;Byp;Kōbe Nishi Bypass;jpn.n002bypknb
jpnhks;N2;Byp;Kōbe Nishi Bypass Toll Road (E94);jpn.n002bypknt
jpnhks;N2;Byp;Kōbe Nishi Bypass west segment;jpn.n002bypknw
jpnhks;N2;Byp;Ogori Bypass;jpn.n002bypogo
jpnhks;N2;Byp;Onomichi Bypass;jpn.n002bypono
jpnhks;N2;Byp;Hiroshima South Bypass east segment;jpn.n002bypshe
jpnhks;N2;Byp;Hiroshima South Bypass west segment;jpn.n002bypshw
jpnhks;N2;Byp;Tamashima-Kasaoka Bypass;jpn.n002byptam
jpnhks;N2;Byp;West Hiroshima Bypass;jpn.n002bypwh
jpnhks;N28;;Kōbe;jpn.n028
jpnhks;N28;;Awajishima;jpn.n028awa
jpnhks;N28;;Iwaji Spur;jpn.n028iwa
jpnhks;N28;Byp;Kōbe-Awaji-Naruto Expressway (E28);jpn.n028bypkan
jpnhks;N29;;;jpn.n029
jpnhks;N30;;;jpn.n030
jpnhks;N30;Byp;Seto Chūo Expressway (E30);jpn.n030bypset
jpnhks;N31;;;jpn.n031
jpnhks;N31;Byp;Hiroshima-Kure Road (E31);jpn.n031bypkur
jpnhks;N190;;;jpn.n190
jpnhks;N316;;;jpn.n316
jpnhks;N317;;Ikuchijima;jpn.n317iku
jpnhks;N317;;Innoshima;jpn.n317inn
jpnhks;N317;;Mukaishima;jpn.n317muk
jpnhks;N437;;Kuga;jpn.n437kug
jpnhks;N437;;Ōshima Ōhashi Connector;jpn.n437osh
jpnhks;N489;;;jpn.n489
jpnhks;N490;;;jpn.n490
jpnhks;N491;;;jpn.n491
jpnhks;N491;Byp;Nagato-Mine Line (E9);jpn.n491bypnag
