system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
franaqd17;FRA-NAQ;D1;-17;;;franaq.d000117;
franaqd17;FRA-NAQ;D2;-17;;Saint-Genis-de-Saintonge;franaq.d000217;
franaqd17;FRA-NAQ;D2;-17;Meu;Meux;franaq.d000217meu;
franaqd17;FRA-NAQ;D2E1;-17;;;franaq.d0002e117;
franaqd17;FRA-NAQ;D3;-17;;;franaq.d000317;
franaqd17;FRA-NAQ;D5;-17;;;franaq.d000517;
franaqd17;FRA-NAQ;D6;-17;;;franaq.d000617;
franaqd17;FRA-NAQ;D9;-17;;;franaq.d000917;
franaqd17;FRA-NAQ;D10;-17;;;franaq.d001017;
franaqd17;FRA-NAQ;D14;-17;;;franaq.d001417;
franaqd17;FRA-NAQ;D14E1;-17;;;franaq.d0014e117;
franaqd17;FRA-NAQ;D25;-17;;;franaq.d002517;
franaqd17;FRA-NAQ;D25E;-17;;;franaq.d0025e17;
franaqd17;FRA-NAQ;D26;-17;;;franaq.d002617;
franaqd17;FRA-NAQ;D26E1;-17;;;franaq.d0026e117;
franaqd17;FRA-NAQ;D26E2;-17;;;franaq.d0026e217;
franaqd17;FRA-NAQ;D26E3;-17;;;franaq.d0026e317;
franaqd17;FRA-NAQ;D28;-17;;;franaq.d002817;
franaqd17;FRA-NAQ;D28E1;-17;;;franaq.d0028e117;
franaqd17;FRA-NAQ;D104;-17;;;franaq.d010417;
franaqd17;FRA-NAQ;D104E2;-17;;;franaq.d0104e217;
franaqd17;FRA-NAQ;D105;-17;;;franaq.d010517;
franaqd17;FRA-NAQ;D123;-17;;;franaq.d012317;
franaqd17;FRA-NAQ;D123E3;-17;;;franaq.d0123e317;
franaqd17;FRA-NAQ;D137;-17;Mar;Marans;franaq.d013717mar;
franaqd17;FRA-NAQ;D137;-17;;Saintes;franaq.d013717;
franaqd17;FRA-NAQ;D142;-17;;Rétaud;franaq.d014217;
franaqd17;FRA-NAQ;D142;-17;Mar;Marignac;franaq.d014217mar;
franaqd17;FRA-NAQ;D142;-17;Med;Saint-Médard;franaq.d014217med;
franaqd17;FRA-NAQ;D142;-17;Bos;Boscamnant;franaq.d014217bos;
franaqd17;FRA-NAQ;D142E1;-17;;;franaq.d0142e117;
franaqd17;FRA-NAQ;D142E2;-17;;;franaq.d0142e217;
franaqd17;FRA-NAQ;D149;-17;Bon;Saint-Bonnet-sur-Gironde;franaq.d014917bon;
franaqd17;FRA-NAQ;D149;-17;;Ozillac;franaq.d014917;
franaqd17;FRA-NAQ;D150;-17;;Saint-Jean-d'Angély;franaq.d015017;
franaqd17;FRA-NAQ;D150;-17;Pes;Pessines;franaq.d015017pes;
franaqd17;FRA-NAQ;D158;-17;;;franaq.d015817;
franaqd17;FRA-NAQ;D158E1;-17;;;franaq.d0158e117;
franaqd17;FRA-NAQ;D158E2;-17;;;franaq.d0158e217;
franaqd17;FRA-NAQ;D214;-17;Lau;Saint-Laurent-de-la-Prée;franaq.d021417lau;
franaqd17;FRA-NAQ;D214;-17;;Breuil-Magné;franaq.d021417;
franaqd17;FRA-NAQ;D214E1;-17;;;franaq.d0214e117;
franaqd17;FRA-NAQ;D214E2;-17;;;franaq.d0214e217;
franaqd17;FRA-NAQ;D214E3;-17;;;franaq.d0214e317;
franaqd17;FRA-NAQ;D214E5;-17;;;franaq.d0214e517;
franaqd17;FRA-NAQ;D214E6;-17;;;franaq.d0214e617;
franaqd17;FRA-NAQ;D218;-17;Voi;Voissay;franaq.d021817voi;
franaqd17;FRA-NAQ;D218;-17;;Vervant;franaq.d021817;
franaqd17;FRA-NAQ;D218E1;-17;;Poursay;franaq.d0218e117;
franaqd17;FRA-NAQ;D218E1;-17;Ori;Orioux;franaq.d0218e117ori;
franaqd17;FRA-NAQ;D218E3;-17;;;franaq.d0218e317;
franaqd17;FRA-NAQ;D699;-17;Hil;Saint-Hilaire-du-Bois;franaq.d069917hil;
franaqd17;FRA-NAQ;D699;-17;;Réaux-sur-Trèfle;franaq.d069917;
franaqd17;FRA-NAQ;D700;-17;;;franaq.d070017;
franaqd17;FRA-NAQ;D728;-17;;;franaq.d072817;
franaqd17;FRA-NAQ;D728E1;-17;;;franaq.d0728e117;
franaqd17;FRA-NAQ;D730;-17;;;franaq.d073017;
franaqd17;FRA-NAQ;D730E;-17;;;franaq.d0730e17;
franaqd17;FRA-NAQ;D731;-17;;Villars-les-Bois;franaq.d073117;
franaqd17;FRA-NAQ;D731;-17;Arc;Archiac;franaq.d073117arc;
franaqd17;FRA-NAQ;D732;-17;;;franaq.d073217;
franaqd17;FRA-NAQ;D733;-17;;;franaq.d073317;
franaqd17;FRA-NAQ;D733E2;-17;;;franaq.d0733e217;
franaqd17;FRA-NAQ;D734;-17;;;franaq.d073417;
franaqd17;FRA-NAQ;D735;-17;;;franaq.d073517;
franaqd17;FRA-NAQ;D739;-17;;Lussant;franaq.d073917;
franaqd17;FRA-NAQ;D739;-17;Bea;Beauvais-sur-Matha;franaq.d073917bea;
franaqd17;FRA-NAQ;D739E;-17;;;franaq.d0739e17;
franaqd17;FRA-NAQ;D750;-17;;;franaq.d075017;
franaqd17;FRA-NAQ;D910;-17;;;franaq.d091017;
franaqd17;FRA-NAQ;D910B;-17;;;franaq.d0910b17;
franaqd17;FRA-NAQ;D911;-17;;;franaq.d091117;
franaqd17;FRA-NAQ;D911B;-17;;;franaq.d0911b17;
franaqd17;FRA-NAQ;D937C;-17;;;franaq.d0937c17;
franaqd17;FRA-NAQ;D938T;-17;;;franaq.d0938t17;
franaqd17;FRA-NAQ;D939;-17;;;franaq.d093917;
franaqd17;FRA-NAQ;D939B;-17;;;franaq.d0939b17;
franaqd17;FRA-NAQ;D939E2;-17;;;franaq.d0939e217;
franaqd17;FRA-NAQ;D950;-17;;;franaq.d095017;
