systemName;region;route;banner;abbrev;city;root;altRouteNames
deunil;DEU-NI;L1;;;;deuni.l001;
deunil;DEU-NI;L2;;Kru;Krummhörn;deuni.l002kru;
deunil;DEU-NI;L2;;;Neermoor;deuni.l002;
deunil;DEU-NI;L3;;;;deuni.l003;
deunil;DEU-NI;L4;;;;deuni.l004;
deunil;DEU-NI;L5;;;;deuni.l005;
deunil;DEU-NI;L6;;;;deuni.l006;
deunil;DEU-NI;L7;;;;deuni.l007;
deunil;DEU-NI;L8;;;;deuni.l008;
deunil;DEU-NI;L10;;;;deuni.l010;
deunil;DEU-NI;L11;;;;deuni.l011;
deunil;DEU-NI;L12;;;;deuni.l012;
deunil;DEU-NI;L14;;;;deuni.l014;
deunil;DEU-NI;L15;;;;deuni.l015;
deunil;DEU-NI;L16;;;;deuni.l016;
deunil;DEU-NI;L17;;;Wymeer;deuni.l017;
deunil;DEU-NI;L17;;Bun;Bunde;deuni.l017bun;
deunil;DEU-NI;L18;;;;deuni.l018;
deunil;DEU-NI;L21;;;;deuni.l021;
deunil;DEU-NI;L24;;;;deuni.l024;
deunil;DEU-NI;L25;;;;deuni.l025;
deunil;DEU-NI;L26;;;;deuni.l026;
deunil;DEU-NI;L27;;;;deuni.l027;
deunil;DEU-NI;L30;;;;deuni.l030;
deunil;DEU-NI;L31;;;;deuni.l031;
deunil;DEU-NI;L32;;;;deuni.l032;
deunil;DEU-NI;L34;;;;deuni.l034;
deunil;DEU-NI;L39;;;;deuni.l039;
deunil;DEU-NI;L40;;;;deuni.l040;
deunil;DEU-NI;L42;;;;deuni.l042;
deunil;DEU-NI;L43;;;;deuni.l043;
deunil;DEU-NI;L44;;;(Main);deuni.l044;
deunil;DEU-NI;L44;;Eml;Emlichheim;deuni.l044eml;
deunil;DEU-NI;L45;;;;deuni.l045;
deunil;DEU-NI;L46;;;;deuni.l046;
deunil;DEU-NI;L47;;;;deuni.l047;
deunil;DEU-NI;L48;;;;deuni.l048;
deunil;DEU-NI;L50;;;;deuni.l050;
deunil;DEU-NI;L51;;;;deuni.l051;
deunil;DEU-NI;L52;;;;deuni.l052;
deunil;DEU-NI;L53;;;;deuni.l053;
deunil;DEU-NI;L54;;;;deuni.l054;
deunil;DEU-NI;L55;;;;deuni.l055;
deunil;DEU-NI;L56;;;;deuni.l056;
deunil;DEU-NI;L57;;;;deuni.l057;
deunil;DEU-NI;L58;;;;deuni.l058;
deunil;DEU-NI;L59;;;;deuni.l059;
deunil;DEU-NI;L60;;;;deuni.l060;
deunil;DEU-NI;L61;;;;deuni.l061;
deunil;DEU-NI;L62;;;;deuni.l062;
deunil;DEU-NI;L63;;;;deuni.l063;
deunil;DEU-NI;L65;;;;deuni.l065;
deunil;DEU-NI;L66;;;;deuni.l066;
deunil;DEU-NI;L67;;;;deuni.l067;
deunil;DEU-NI;L68;;;;deuni.l068;
deunil;DEU-NI;L70;;;;deuni.l070;
deunil;DEU-NI;L71;;;;deuni.l071;
deunil;DEU-NI;L72;;;;deuni.l072;
deunil;DEU-NI;L73;;;;deuni.l073;
deunil;DEU-NI;L74;;;;deuni.l074;
deunil;DEU-NI;L75;;;;deuni.l075;
deunil;DEU-NI;L76;;;;deuni.l076;
deunil;DEU-NI;L77;;;;deuni.l077;
deunil;DEU-NI;L78;;;;deuni.l078;
deunil;DEU-NI;L79;;;;deuni.l079;
deunil;DEU-NI;L80;;;;deuni.l080;
deunil;DEU-NI;L81;;;;deuni.l081;
deunil;DEU-NI;L82;;;;deuni.l082;
deunil;DEU-NI;L83;;;;deuni.l083;
deunil;DEU-NI;L84;;;;deuni.l084;
deunil;DEU-NI;L85;;;;deuni.l085;
deunil;DEU-NI;L87;;;;deuni.l087;
deunil;DEU-NI;L88;;;;deuni.l088;
deunil;DEU-NI;L89;;;;deuni.l089;
deunil;DEU-NI;L90;;;;deuni.l090;
deunil;DEU-NI;L91;;;;deuni.l091;
deunil;DEU-NI;L92;;;;deuni.l092;
deunil;DEU-NI;L93;;;;deuni.l093;
deunil;DEU-NI;L94;;;;deuni.l094;
deunil;DEU-NI;L95;;;;deuni.l095;
deunil;DEU-NI;L96;;;;deuni.l096;
deunil;DEU-NI;L97;;;;deuni.l097;
deunil;DEU-NI;L98;;;;deuni.l098;
deunil;DEU-NI;L100;;;;deuni.l100;
deunil;DEU-NI;L102;;;;deuni.l102;
deunil;DEU-NI;L105;;;;deuni.l105;
deunil;DEU-NI;L106;;;;deuni.l106;
deunil;DEU-NI;L107;;;;deuni.l107;
deunil;DEU-NI;L108;;;;deuni.l108;
deunil;DEU-NI;L109;;;;deuni.l109;
deunil;DEU-NI;L111;;;;deuni.l111;
deunil;DEU-NI;L113;;;;deuni.l113;
deunil;DEU-NI;L114;;;;deuni.l114;
deunil;DEU-NI;L116;;;;deuni.l116;
deunil;DEU-NI;L117;;;;deuni.l117;
deunil;DEU-NI;L118;;;;deuni.l118;
deunil;DEU-NI;L119;;;;deuni.l119;
deunil;DEU-NI;L120;;;;deuni.l120;
deunil;DEU-NI;L121;;;;deuni.l121;
deunil;DEU-NI;L122;;;;deuni.l122;
deunil;DEU-NI;L123;;;;deuni.l123;
deunil;DEU-NI;L124;;;;deuni.l124;
deunil;DEU-NI;L125;;;;deuni.l125;
deunil;DEU-NI;L127;;;;deuni.l127;
deunil;DEU-NI;L128;;;;deuni.l128;
deunil;DEU-NI;L129;;;;deuni.l129;
deunil;DEU-NI;L130;;;;deuni.l130;
deunil;DEU-NI;L131;;;;deuni.l131;
deunil;DEU-NI;L132;;;;deuni.l132;
deunil;DEU-NI;L133;;;;deuni.l133;
deunil;DEU-NI;L134;;;;deuni.l134;
deunil;DEU-NI;L135;;Gee;Geestland;deuni.l135gee;
deunil;DEU-NI;L135;;;Hagen im Bremischen;deuni.l135;
deunil;DEU-NI;L140;;;(Main);deuni.l140;
deunil;DEU-NI;L140;;Kon;Königreich;deuni.l140kon;
deunil;DEU-NI;L141;;;;deuni.l141;
deunil;DEU-NI;L142;;;;deuni.l142;
deunil;DEU-NI;L143;;;;deuni.l143;
deunil;DEU-NI;L144;;;;deuni.l144;
deunil;DEU-NI;L149;;;;deuni.l149;
deunil;DEU-NI;L151;;;;deuni.l151;
deunil;DEU-NI;L153;;;;deuni.l153;
deunil;DEU-NI;L154;;;;deuni.l154;
deunil;DEU-NI;L155;;;;deuni.l155;
deunil;DEU-NI;L156;;;;deuni.l156;
deunil;DEU-NI;L157;;;;deuni.l157;
deunil;DEU-NI;L158;;;;deuni.l158;
deunil;DEU-NI;L159;;;;deuni.l159;
deunil;DEU-NI;L160;;;;deuni.l160;
deunil;DEU-NI;L161;;;;deuni.l161;
deunil;DEU-NI;L163;;;;deuni.l163;
deunil;DEU-NI;L165;;;;deuni.l165;
deunil;DEU-NI;L167;;;;deuni.l167;
deunil;DEU-NI;L168;;;;deuni.l168;
deunil;DEU-NI;L170;;;;deuni.l170;
deunil;DEU-NI;L171;;;;deuni.l171;
deunil;DEU-NI;L180;;;;deuni.l180;
deunil;DEU-NI;L190;;;;deuni.l190;
deunil;DEU-NI;L191;;;;deuni.l191;
deunil;DEU-NI;L192;;;;deuni.l192;
deunil;DEU-NI;L193;;;;deuni.l193;
deunil;DEU-NI;L200;;;;deuni.l200;
deunil;DEU-NI;L201;;;;deuni.l201;
deunil;DEU-NI;L202;;;;deuni.l202;
deunil;DEU-NI;L203;;;;deuni.l203;
deunil;DEU-NI;L211;;;;deuni.l211;
deunil;DEU-NI;L212;;;;deuni.l212;
deunil;DEU-NI;L213;;;;deuni.l213;
deunil;DEU-NI;L215;;;;deuni.l215;
deunil;DEU-NI;L216;;;;deuni.l216;
deunil;DEU-NI;L217;;;;deuni.l217;
deunil;DEU-NI;L219;;;;deuni.l219;
deunil;DEU-NI;L221;;;;deuni.l221;
deunil;DEU-NI;L222;;;;deuni.l222;
deunil;DEU-NI;L223;;Ble;Bleckede;deuni.l223ble;
deunil;DEU-NI;L223;;;Neu Wendischthun;deuni.l223;
deunil;DEU-NI;L224;;;;deuni.l224;
deunil;DEU-NI;L231;;;;deuni.l231;
deunil;DEU-NI;L232;;Neu;Neuhaus;deuni.l232neu;
deunil;DEU-NI;L232;;Dar;Neu Darchau;deuni.l232dar;
deunil;DEU-NI;L232;;;Bad Bevensen;deuni.l232;
deunil;DEU-NI;L233;;;;deuni.l233;
deunil;DEU-NI;L234;;;;deuni.l234;
deunil;DEU-NI;L235;;Rub;Rübke;deuni.l235rub;
deunil;DEU-NI;L235;;;Elstorf;deuni.l235;
deunil;DEU-NI;L240;;;;deuni.l240;
deunil;DEU-NI;L244;;;;deuni.l244;
deunil;DEU-NI;L250;;;;deuni.l250;
deunil;DEU-NI;L252;;;;deuni.l252;
deunil;DEU-NI;L253;;;;deuni.l253;
deunil;DEU-NI;L254;;;;deuni.l254;
deunil;DEU-NI;L255;;;;deuni.l255;
deunil;DEU-NI;L256;;;;deuni.l256;
deunil;DEU-NI;L258;;;;deuni.l258;
deunil;DEU-NI;L259;;;;deuni.l259;
deunil;DEU-NI;L260;;;;deuni.l260;
deunil;DEU-NI;L261;;;;deuni.l261;
deunil;DEU-NI;L262;;;;deuni.l262;
deunil;DEU-NI;L263;;;;deuni.l263;
deunil;DEU-NI;L265;;;;deuni.l265;
deunil;DEU-NI;L266;;;;deuni.l266;
deunil;DEU-NI;L270;;;;deuni.l270;
deunil;DEU-NI;L280;;;;deuni.l280;
deunil;DEU-NI;L281;;;Celle;deuni.l281;
deunil;DEU-NI;L282;;Wit;Wittingen;deuni.l282wit;
deunil;DEU-NI;L282;;;;deuni.l282;
deunil;DEU-NI;L283;;;;deuni.l283;
deunil;DEU-NI;L284;;;;deuni.l284;
deunil;DEU-NI;L286;;;;deuni.l286;
deunil;DEU-NI;L287;;;;deuni.l287;
deunil;DEU-NI;L288;;;;deuni.l288;
deunil;DEU-NI;L289;;;;deuni.l289;
deunil;DEU-NI;L290;;;;deuni.l290;
deunil;DEU-NI;L291;;;;deuni.l291;
deunil;DEU-NI;L292;;;;deuni.l292;
deunil;DEU-NI;L293;;;;deuni.l293;
deunil;DEU-NI;L294;;;;deuni.l294;
deunil;DEU-NI;L295;;;;deuni.l295;
deunil;DEU-NI;L297;;;;deuni.l297;
deunil;DEU-NI;L298;;;;deuni.l298;
deunil;DEU-NI;L299;;;;deuni.l299;
deunil;DEU-NI;L310;;;;deuni.l310;
deunil;DEU-NI;L311;;;;deuni.l311;
deunil;DEU-NI;L320;;;;deuni.l320;
deunil;DEU-NI;L321;;;;deuni.l321;
deunil;DEU-NI;L322;;;;deuni.l322;
deunil;DEU-NI;L330;;;;deuni.l330;
deunil;DEU-NI;L331;;;;deuni.l331;
deunil;DEU-NI;L332;;;;deuni.l332;
deunil;DEU-NI;L333;;;;deuni.l333;
deunil;DEU-NI;L334;;;;deuni.l334;
deunil;DEU-NI;L335;;;;deuni.l335;
deunil;DEU-NI;L336;;;;deuni.l336;
deunil;DEU-NI;L337;;;;deuni.l337;
deunil;DEU-NI;L338;;;;deuni.l338;
deunil;DEU-NI;L340;;;;deuni.l340;
deunil;DEU-NI;L341;;;;deuni.l341;
deunil;DEU-NI;L342;;;;deuni.l342;
deunil;DEU-NI;L343;;;;deuni.l343;
deunil;DEU-NI;L344;;;;deuni.l344;
deunil;DEU-NI;L345;;;;deuni.l345;
deunil;DEU-NI;L346;;;;deuni.l346;
deunil;DEU-NI;L347;;;;deuni.l347;
deunil;DEU-NI;L348;;;;deuni.l348;
deunil;DEU-NI;L349;;;(Main);deuni.l349;
deunil;DEU-NI;L349;;Kir;Kirchdorf;deuni.l349kir;
deunil;DEU-NI;L350;;;;deuni.l350;
deunil;DEU-NI;L351;;;;deuni.l351;
deunil;DEU-NI;L352;;;;deuni.l352;
deunil;DEU-NI;L354;;;;deuni.l354;
deunil;DEU-NI;L356;;;;deuni.l356;
deunil;DEU-NI;L360;;;;deuni.l360;
deunil;DEU-NI;L370;;;;deuni.l370;
deunil;DEU-NI;L371;;;;deuni.l371;
deunil;DEU-NI;L372;;;;deuni.l372;
deunil;DEU-NI;L380;;;;deuni.l380;
deunil;DEU-NI;L381;;;;deuni.l381;
deunil;DEU-NI;L382;;;;deuni.l382;
deunil;DEU-NI;L383;;;;deuni.l383;
deunil;DEU-NI;L384;;;;deuni.l384;
deunil;DEU-NI;L385;;;;deuni.l385;
deunil;DEU-NI;L387;;;;deuni.l387;
deunil;DEU-NI;L388;;;;deuni.l388;
deunil;DEU-NI;L389;;;;deuni.l389;
deunil;DEU-NI;L390;;;;deuni.l390;
deunil;DEU-NI;L391;;;(Main);deuni.l391;
deunil;DEU-NI;L391;;Wen;Wennigsen;deuni.l391wen;
deunil;DEU-NI;L392;;;;deuni.l392;
deunil;DEU-NI;L393;;;;deuni.l393;
deunil;DEU-NI;L395;;;;deuni.l395;
deunil;DEU-NI;L401;;;;deuni.l401;
deunil;DEU-NI;L402;;;;deuni.l402;
deunil;DEU-NI;L403;;;;deuni.l403;
deunil;DEU-NI;L410;;;;deuni.l410;
deunil;DEU-NI;L411;;;;deuni.l411;
deunil;DEU-NI;L412;;;;deuni.l412;
deunil;DEU-NI;L413;;;;deuni.l413;
deunil;DEU-NI;L414;;;;deuni.l414;
deunil;DEU-NI;L421;;;;deuni.l421;
deunil;DEU-NI;L422;;;;deuni.l422;
deunil;DEU-NI;L423;;;;deuni.l423;
deunil;DEU-NI;L424;;;;deuni.l424;
deunil;DEU-NI;L425;;;;deuni.l425;
deunil;DEU-NI;L426;;;;deuni.l426;
deunil;DEU-NI;L427;;;;deuni.l427;
deunil;DEU-NI;L428;;;;deuni.l428;
deunil;DEU-NI;L429;;;;deuni.l429;
deunil;DEU-NI;L430;;;;deuni.l430;
deunil;DEU-NI;L431;;;;deuni.l431;
deunil;DEU-NI;L432;;;;deuni.l432;
deunil;DEU-NI;L433;;;;deuni.l433;
deunil;DEU-NI;L434;;;;deuni.l434;
