System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
deuhel;DEU;L163;HE;;;deu.hel0163he;
deuhel;DEU;L535;HE;;;deu.hel0535he;
deuhel;DEU;L553;HE;;;deu.hel0553he;
deuhel;DEU;L561;HE;;;deu.hel0561he;
deuhel;DEU;L562;HE;;;deu.hel0562he;
deuhel;DEU;L617;HE;;;deu.hel0617he;
deuhel;DEU;L631;HE;;;deu.hel0631he;
deuhel;DEU;L763;HE;;;deu.hel0763he;
deuhel;DEU;L1328;HE;;;deu.hel1328he;
deuhel;DEU;L1551;HE;;;deu.hel1551he;
deuhel;DEU;L1571;HE;;;deu.hel1571he;
deuhel;DEU;L2289;HE;;;deu.hel2289he;
deuhel;DEU;L2303;HE;;;deu.hel2303he;
deuhel;DEU;L2304;HE;;;deu.hel2304he;
deuhel;DEU;L2306;HE;;;deu.hel2306he;
deuhel;DEU;L2310;HE;;(Main);deu.hel2310he;
deuhel;DEU;L2310;HE;Sel;Seligenstadt;deu.hel2310hesel;
deuhel;DEU;L2311;HE;;;deu.hel2311he;
deuhel;DEU;L2604;HE;;;deu.hel2604he;
deuhel;DEU;L2905;HE;;;deu.hel2905he;
deuhel;DEU;L3001;HE;;;deu.hel3001he;
deuhel;DEU;L3002;HE;;;deu.hel3002he;
deuhel;DEU;L3003;HE;;;deu.hel3003he;
deuhel;DEU;L3006;HE;;;deu.hel3006he;
deuhel;DEU;L3007;HE;;;deu.hel3007he;
deuhel;DEU;L3008;HE;;;deu.hel3008he;
deuhel;DEU;L3009;HE;;;deu.hel3009he;
deuhel;DEU;L3010;HE;;;deu.hel3010he;
deuhel;DEU;L3011;HE;;(Main);deu.hel3011he;
deuhel;DEU;L3011;HE;Hof;Hofheim;deu.hel3011hehof;
deuhel;DEU;L3012;HE;;;deu.hel3012he;
deuhel;DEU;L3013;HE;;;deu.hel3013he;
deuhel;DEU;L3014;HE;;;deu.hel3014he;
deuhel;DEU;L3015;HE;;;deu.hel3015he;
deuhel;DEU;L3016;HE;;;deu.hel3016he;
deuhel;DEU;L3017;HE;;(Main);deu.hel3017he;
deuhel;DEU;L3017;HE;Bre;Bremthal;deu.hel3017hebre;
deuhel;DEU;L3018;HE;;Langenhain;deu.hel3018he;
deuhel;DEU;L3018;HE;Zei;Zeilsheim;deu.hel3018hezei;
deuhel;DEU;L3019;HE;;;deu.hel3019he;
deuhel;DEU;L3020;HE;;;deu.hel3020he;
deuhel;DEU;L3021;HE;;;deu.hel3021he;
deuhel;DEU;L3022;HE;;(Main);deu.hel3022he;
deuhel;DEU;L3022;HE;Nie;Niederbrechen;deu.hel3022henie;
deuhel;DEU;L3023;HE;;;deu.hel3023he;
deuhel;DEU;L3024;HE;;;deu.hel3024he;
deuhel;DEU;L3025;HE;;;deu.hel3025he;
deuhel;DEU;L3026;HE;;;deu.hel3026he;
deuhel;DEU;L3027;HE;;;deu.hel3027he;
deuhel;DEU;L3028;HE;;;deu.hel3028he;
