systemName;region;route;banner;abbrev;city;root;altRouteNames
franord76;FRA-NOR;D1;-76;;;franor.d000176;
franord76;FRA-NOR;D1A;-76;;;franor.d0001a76;
franord76;FRA-NOR;D1B;-76;;;franor.d0001b76;
franord76;FRA-NOR;D1C;-76;;;franor.d0001c76;
franord76;FRA-NOR;D1D;-76;;;franor.d0001d76;
franord76;FRA-NOR;D1E;-76;;;franor.d0001e76;
franord76;FRA-NOR;D1F;-76;;;franor.d0001f76;
franord76;FRA-NOR;D1G;-76;;;franor.d0001g76;
franord76;FRA-NOR;D1J;-76;;;franor.d0001j76;
franord76;FRA-NOR;D2;-76;;;franor.d000276;
franord76;FRA-NOR;D2A;-76;;;franor.d0002a76;
franord76;FRA-NOR;D3;-76;;;franor.d000376;
franord76;FRA-NOR;D3A;-76;;;franor.d0003a76;
franord76;FRA-NOR;D3B;-76;;;franor.d0003b76;
franord76;FRA-NOR;D4;-76;;;franor.d000476;
franord76;FRA-NOR;D5;-76;;;franor.d000576;
franord76;FRA-NOR;D5A;-76;;Les Petites Dalles;franor.d0005a76;
franord76;FRA-NOR;D5A;-76;Sas;Sassetot-le-Mauconduit;franor.d0005a76sas;
franord76;FRA-NOR;D6;-76;;;franor.d000676;
franord76;FRA-NOR;D7;-76;;(Main);franor.d000776;
franord76;FRA-NOR;D7;-76;Elb;Elbeuf;franor.d000776elb;
franord76;FRA-NOR;D7B;-76;;;franor.d0007b76;
franord76;FRA-NOR;D8;-76;;;franor.d000876;
franord76;FRA-NOR;D9;-76;;;franor.d000976;
franord76;FRA-NOR;D9A;-76;;;franor.d0009a76;
franord76;FRA-NOR;D10;-76;;;franor.d001076;
franord76;FRA-NOR;D10A;-76;;;franor.d0010a76;
franord76;FRA-NOR;D11;-76;;;franor.d001176;
franord76;FRA-NOR;D12;-76;;;franor.d001276;
franord76;FRA-NOR;D13;-76;;;franor.d001376;
franord76;FRA-NOR;D13A;-76;;;franor.d0013a76;
franord76;FRA-NOR;D13B;-76;;;franor.d0013b76;
franord76;FRA-NOR;D13D;-76;;;franor.d0013d76;
franord76;FRA-NOR;D13E;-76;;;franor.d0013e76;
franord76;FRA-NOR;D14;-76;;;franor.d001476;
franord76;FRA-NOR;D14A;-76;;;franor.d0014a76;
franord76;FRA-NOR;D15;-76;;;franor.d001576;
franord76;FRA-NOR;D16;-76;;;franor.d001676;
franord76;FRA-NOR;D17;-76;;Thiétreville;franor.d001776;
franord76;FRA-NOR;D17;-76;Ant;Saint-Antoine-la-Forêt;franor.d001776ant;
franord76;FRA-NOR;D17B;-76;;;franor.d0017b76;
franord76;FRA-NOR;D18;-76;;;franor.d001876;
franord76;FRA-NOR;D18E;-76;;;franor.d0018e76;
franord76;FRA-NOR;D19;-76;;;franor.d001976;
franord76;FRA-NOR;D154E;-76;;;franor.d0154e76;
franord76;FRA-NOR;D418;-76;;;franor.d041876;
franord76;FRA-NOR;D485;-76;;;franor.d048576;
franord76;FRA-NOR;D489;-76;;;franor.d048976;
franord76;FRA-NOR;D925;-76;;;franor.d092576;
franord76;FRA-NOR;D925;-76;Eu;Eu;franor.d092576eu;
franord76;FRA-NOR;D927;-76;Die;Dieppe;franor.d092776die;
franord76;FRA-NOR;D938;-76;;;franor.d093876;
franord76;FRA-NOR;D940;-76;Eu;Eu;franor.d094076eu;
franord76;FRA-NOR;D6015;-76;;;franor.d601576;
franord76;FRA-NOR;D6028;-76;;;franor.d602876;
franord76;FRA-NOR;D6382;-76;;;franor.d638276;
