systemName;region;route;banner;abbrev;city;root;altRouteNames
kazkz;KAZ;KZ01-01;;;;kaz.kz0101;
kazkz;KAZ;KZ02-01;;;;kaz.kz0201;
kazkz;KAZ;KZ03-01;;;;kaz.kz0301;
kazkz;KAZ;KZ03-02;;;;kaz.kz0302;
kazkz;KAZ;KZ03-03;;;;kaz.kz0303;
kazkz;KAZ;KZ03-04;;;;kaz.kz0304;
kazkz;KAZ;KZ03-05;;;;kaz.kz0305;
kazkz;KAZ;KZ03-06;;;;kaz.kz0306;
kazkz;KAZ;KZ03-07;;;;kaz.kz0307;
kazkz;KAZ;KZ03-08;;;;kaz.kz0308;
kazkz;KAZ;KZ03-09;;;;kaz.kz0309;
kazkz;KAZ;KZ03-10;;;;kaz.kz0310;
kazkz;KAZ;KZ03-11;;;;kaz.kz0311;
kazkz;KAZ;KZ03-12;;;;kaz.kz0312;
kazkz;KAZ;KZ04-01;;;;kaz.kz0401;
kazkz;KAZ;KZ04-02;;;;kaz.kz0402;
kazkz;KAZ;KZ05-01;;;;kaz.kz0501;
kazkz;KAZ;KZ05-02;;;;kaz.kz0502;
kazkz;KAZ;KZ05-03;;;;kaz.kz0503;
kazkz;KAZ;KZ05-04;;;;kaz.kz0504;
kazkz;KAZ;KZ05-05;;;;kaz.kz0505;
kazkz;KAZ;KZ05-06;;;;kaz.kz0506;
kazkz;KAZ;KZ05-07;;;;kaz.kz0507;
kazkz;KAZ;KZ05-08;;;;kaz.kz0508;
kazkz;KAZ;KZ06-01;;;;kaz.kz0601;
kazkz;KAZ;KZ06-02;;;;kaz.kz0602;
kazkz;KAZ;KZ06-03;;;;kaz.kz0603;
kazkz;KAZ;KZ07-01;;;;kaz.kz0701;
kazkz;KAZ;KZ07-02;;;;kaz.kz0702;
kazkz;KAZ;KZ07-03;;;;kaz.kz0703;
kazkz;KAZ;KZ07-04;;;;kaz.kz0704;
kazkz;KAZ;KZ07-05;;;;kaz.kz0705;
kazkz;KAZ;KZ07-06;;;;kaz.kz0706;
kazkz;KAZ;KZ07-07;;;;kaz.kz0707;
kazkz;KAZ;KZ08-01;;;;kaz.kz0801;
kazkz;KAZ;KZ08-02;;;;kaz.kz0802;
kazkz;KAZ;KZ08-03;;;;kaz.kz0803;
kazkz;KAZ;KZ08-04;;;;kaz.kz0804;
kazkz;KAZ;KZ08-05;;;;kaz.kz0805;
kazkz;KAZ;KZ08-06;;;;kaz.kz0806;
kazkz;KAZ;KZ08-07;;;;kaz.kz0807;
kazkz;KAZ;KZ09-01;;;;kaz.kz0901;
kazkz;KAZ;KZ09-02;;;;kaz.kz0902;
kazkz;KAZ;KZ10-01;;;;kaz.kz1001;
kazkz;KAZ;KZ10-02;;;;kaz.kz1002;
kazkz;KAZ;KZ10-03;;;;kaz.kz1003;
kazkz;KAZ;KZ10-04;;;;kaz.kz1004;
kazkz;KAZ;KZ10-05;;;;kaz.kz1005;
kazkz;KAZ;KZ10-06;;;;kaz.kz1006;
kazkz;KAZ;KZ10-07;;;;kaz.kz1007;
kazkz;KAZ;KZ10-08;;;;kaz.kz1008;
kazkz;KAZ;KZ10-09;;;;kaz.kz1009;
kazkz;KAZ;KZ10-10;;;;kaz.kz1010;
kazkz;KAZ;KZ10-11;;;;kaz.kz1011;
kazkz;KAZ;KZ10-12;;;;kaz.kz1012;
kazkz;KAZ;KZ10-13;;;;kaz.kz1013;
kazkz;KAZ;KZ11-01;;;;kaz.kz1101;
kazkz;KAZ;KZ12-01;;;;kaz.kz1201;
kazkz;KAZ;KZ12-02;;;;kaz.kz1202;
kazkz;KAZ;KZ12-03;;;;kaz.kz1203;
kazkz;KAZ;KZ12-04;;;;kaz.kz1204;
kazkz;KAZ;KZ13-01;;;;kaz.kz1301;
kazkz;KAZ;KZ13-02;;;;kaz.kz1302;
kazkz;KAZ;KZ13-03;;;;kaz.kz1303;
kazkz;KAZ;KZ13-04;;;;kaz.kz1304;
kazkz;KAZ;KZ14-01;;;;kaz.kz1401;
kazkz;KAZ;KZ14-02;;;;kaz.kz1402;
kazkz;KAZ;KZ14-03;;;;kaz.kz1403;
kazkz;KAZ;KZ14-04;;;;kaz.kz1404;
kazkz;KAZ;KZ15-01;;;;kaz.kz1501;
kazkz;KAZ;KZ15-02;;;;kaz.kz1502;
kazkz;KAZ;KZ15-03;;;;kaz.kz1503;
kazkz;KAZ;KZ15-04;;;;kaz.kz1504;
kazkz;KAZ;KZ15-05;;;;kaz.kz1505;
kazkz;KAZ;KZ15-06;;;;kaz.kz1506;
kazkz;KAZ;KZ15-07;;;;kaz.kz1507;
kazkz;KAZ;KZ15-08;;;;kaz.kz1508;
kazkz;KAZ;KZ15-09;;;;kaz.kz1509;
kazkz;KAZ;KZ15-10;;;;kaz.kz1510;
kazkz;KAZ;KZ16-01;;;;kaz.kz1601;
kazkz;KAZ;KZ16-02;;;;kaz.kz1602;
kazkz;KAZ;KZ16-03;;;;kaz.kz1603;
kazkz;KAZ;KZ17-01;;;;kaz.kz1701;
kazkz;KAZ;KZ18-01;;;;kaz.kz1801;
kazkz;KAZ;KZ18-02;;;;kaz.kz1802;
kazkz;KAZ;KZ18-03;;;;kaz.kz1803;
kazkz;KAZ;KZ19-01;;;;kaz.kz1901;
kazkz;KAZ;KZ19-02;;;;kaz.kz1902;
kazkz;KAZ;KZ20-01;;;;kaz.kz2001;
