systemName;route;banner;groupName;roots
deub;B1;;Aachen;deu.b001aac
deub;B1;;Düsseldorf;deu.b001dus
deub;B1;;Essen;deu.b001ess
deub;B1;;Dortmund;deu.b001dor
deub;B1;;Unna;deu.b001unn
deub;B1;;Hameln;deu.b001ham
deub;B1;;Berlin;deu.b001
deub;B1a;;;deu.b001a
deub;B2;;Schwedt;deu.b002sch
deub;B2;;Leipzig;deu.b002lei
deub;B2;;Porstendorf;deu.b002por
deub;B2;;Schleiz;deu.b002slz
deub;B2;;Hof;deu.b002hof
deub;B2;;Nürnberg;deu.b002
deub;B2;;Weilheim i.OB;deu.b002wei
deub;B2r;;;deu.b002r
deub;B3;;Hannover;deu.b003
deub;B3;;Marburg;deu.b003mar
deub;B3;;Frankfurt;deu.b003fra
deub;B3;;Karlsruhe;deu.b003kar
deub;B3n;;;deu.b003n
deub;B4;;Hamburg;deu.b004ham
deub;B4;;Uelzen;deu.b004uel
deub;B4;;Nordhausen;deu.b004
deub;B4;;Coburg;deu.b004cob
deub;B4;;Nürnberg;deu.b004nur
deub;B4r;;;deu.b004r
deub;B5;;Husum;deu.b005hus
deub;B5;;Berlin;deu.b005
deub;B6;;Bremerhaven;deu.b006bre
deub;B6;;Hannover;deu.b006
deub;B6;;Leipzig;deu.b006lei
deub;B6;;Löbau;deu.b006lob
deub;B6n;;;deu.b006n
deub;B7;;Düsseldorf;deu.b007dus
deub;B7;;Hagen;deu.b007hag
deub;B7;;Menden;deu.b007men
deub;B7;;Kassel;deu.b007
deub;B7;;Gotha;deu.b007got
deub;B7;;Weimar;deu.b007wei
deub;B7;;Altenburg;deu.b007alt
deub;B8;;Emmerich;deu.b008emm
deub;B8;;Dinslaken;deu.b008din
deub;B8;;Düsseldorf;deu.b008dus
deub;B8;;Köln;deu.b008kol
deub;B8;;Limburg;deu.b008
deub;B8;;Frankfurt;deu.b008fra
deub;B8;;Aschaffenburg;deu.b008asc
deub;B8;;Marktheidenfeld;deu.b008mar
deub;B8;;Würzburg;deu.b008wur
deub;B8;;Neumarkt;deu.b008neu
deub;B8;;Straubing;deu.b008str
deub;B8;AST;Köln-Mülheim;deu.b008ast
deub;B8n;;;deu.b008n
deub;B9;;Geldern;deu.b009gel
deub;B9;;Dormagen;deu.b009dor
deub;B9;;Koblenz;deu.b009kob
deub;B9;;Ludwigshafen;deu.b009
deub;B9;AST;Speyer;deu.b009ast
deub;B9;AST;Köln;deu.b009astkol
deub;B10;;Stuttgart;deu.b010
deub;B10;;Lebach;deu.b010leb
deub;B10;;Pirmasens;deu.b010pir
deub;B11;;Regen;deu.b011reg
deub;B11;;Landshut;deu.b011lan
deub;B11;;Wolfratshausen;deu.b011
deub;B11a;;;deu.b011a
deub;B12;;Kempten;deu.b012
deub;B12;;München;deu.b012muc
deub;B12;;Haar;deu.b012haa
deub;B12;;Simbach;deu.b012sim
deub;B12;;Freyung;deu.b012fre
deub;B12;AST;Braunau am Inn;deu.b012astbra
deub;B12;AST;Lindau;deu.b012ast
deub;B13;;Ingolstadt;deu.b013
deub;B13;;München-Giesing;deu.b013gie
deub;B13;;Bad Tölz;deu.b013tol
deub;B14;;Tuttlingen;deu.b014tut
deub;B14;;Horb am Neckar;deu.b014hor
deub;B14;;Gärtringen;deu.b014gar
deub;B14;;Backnang;deu.b014bac
deub;B14;;Nürnberg;deu.b014
deub;B15;;Hof;deu.b015hof
deub;B15;;Tirschenreuth;deu.b015tir
deub;B15;;Landshut;deu.b015
deub;B15a;;;deu.b015a
deub;B15n;;;deu.b015n
deub;B16;;;deu.b016
deub;B16a;;;deu.b016a
deub;B17;;;deu.b017
deub;B19;;Eisenach;deu.b019eis
deub;B19;;Poppenhausen;deu.b019pop
deub;B19;;Schwäbisch Hall;deu.b019
deub;B19;;Sonthofen;deu.b019son
deub;B19;;Barchfeld;deu.b019bar
deub;B20;;;deu.b020
deub;B21;;;deu.b021
deub;B22;;Bamberg;deu.b022bam
deub;B22;;Weiden;deu.b022
deub;B22;AST;Bamberg;deu.b022ast
deub;B23;;;deu.b023
deub;B25;;;deu.b025
deub;B26;;Aschaffenburg;deu.b026
deub;B26;;Bamberg;deu.b026bam
deub;B26a;;;deu.b026a
deub;B27;;Herzberg;deu.b027her
deub;B27;;Bebra;deu.b027beb
deub;B27;;Würzburg;deu.b027wur
deub;B27;;Stuttgart;deu.b027
deub;B27;;Jestetten;deu.b027jes
deub;B27;AST;Friedland;deu.b027ast
deub;B27a;;Kornwestheim;deu.b027a
deub;B27a;;Stuttgart;deu.b027astu
deub;B28;;;deu.b028
deub;B28a;;Dornstetten;deu.b028ador
deub;B28a;;Rottenburg am Neckar;deu.b028a
deub;B28a;;Tübingen;deu.b028atub
deub;B29;;;deu.b029
deub;B30;;;deu.b030
deub;B31;;Freiburg;deu.b031
deub;B31;;Friedrichshafen;deu.b031fri
deub;B31a;;;deu.b031a
deub;B31n;;;deu.b031n
deub;B32;;Horb am Neckar;deu.b032hor
deub;B32;;Bad Saulgau;deu.b032
deub;B32;AST;Hechingen;deu.b032ast
deub;B33;;Villingen-Schwenningen;deu.b033
deub;B33;;Radolfzell;deu.b033rad
deub;B33;;Markdorf;deu.b033mar
deub;B33;AST;Konstanz;deu.b033ast
deub;B33a;;;deu.b033a
deub;B34;;Bad Säckingen;deu.b034
deub;B34;;Singen;deu.b034sin
deub;B34;AST;Waldshut;deu.b034ast
deub;B35;;;deu.b035
deub;B35a;;;deu.b035a
deub;B36;;Mannheim;deu.b036man
deub;B36;;Karlsruhe;deu.b036
deub;B36;AST;Mannheim;deu.b036ast
deub;B37;;;deu.b037
deub;B38;;Weinheim;deu.b038
deub;B38;;Neustadt an der Weinstraße;deu.b038neu
deub;B38;;Bad Bergzabern;deu.b038ber
deub;B38a;;;deu.b038a
deub;B39;;Neustadt an der Weinstraße;deu.b039neu
deub;B39;;Heilbronn;deu.b039
deub;B39a;;;deu.b039a
deub;B40;;;deu.b040
deub;B40a;;;deu.b040a
deub;B41;;Saarbrücken;deu.b041saa
deub;B41;;Idar-Oberstein;deu.b041
deub;B42;;Koblenz;deu.b042
deub;B42;;Weiterstadt;deu.b042wei
deub;B42a;;;deu.b042a
deub;B43;;Rüsselsheim;deu.b043rus
deub;B43;;Offenbach;deu.b043
deub;B43;AST;Kelsterbach;deu.b043ast
deub;B43a;;;deu.b043a
deub;B44;;Gernsheim;deu.b044
deub;B44;;Rheingönheim;deu.b044rhe
deub;B44;AST;Bürstadt;deu.b044ast
deub;B45;;;deu.b045
deub;B47;;;deu.b047
deub;B47;AST;Dreisen;deu.b047ast
deub;B47n;;;deu.b047n
deub;B48;;;deu.b048
deub;B49;;Trier;deu.b049tri
deub;B49;;Limburg;deu.b049
deub;B50;;Bitburg;deu.b050bit
deub;B50;;Hahn (Hunsrück);deu.b050
deub;B50n;;;deu.b050n
deub;B51;;Diepholz;deu.b051die
deub;B51;;Ostbevern;deu.b051ost
deub;B51;;Wermelskirchen;deu.b051wer
deub;B51;;Köln;deu.b051kol
deub;B51;;Bitburg;deu.b051
deub;B51;;Saarbrücken;deu.b051saa
deub;B52;;Trier;deu.b052
deub;B52;;Hermeskeil;deu.b052her
deub;B53;;;deu.b053
deub;B54;;;deu.b054
deub;B54;AST;Siegen;deu.b054astsie
deub;B54;AST;Dortmund;deu.b054ast
deub;B55;;Elsdorf;deu.b055els
deub;B55;;Köln;deu.b055kol
deub;B55;;Meschede;deu.b055
deub;B55a;;Köln;deu.b055a
deub;B55a;;Bergneustadt;deu.b055aber
deub;B56;;Düren;deu.b056
deub;B56;;Siegen;deu.b056sie
deub;B56n;;Gangelt;deu.b056n
deub;B56n;;Zülpich;deu.b056nzul
deub;B57;;Kalkar;deu.b057kal
deub;B57;;Erkelenz;deu.b057
deub;B58;;;deu.b058
deub;B59;;;deu.b059
deub;B61;;;deu.b061
deub;B61;AST;Porta Westfalica;deu.b061astpor
deub;B61;AST;Bielefeld;deu.b061ast
deub;B61n;;;deu.b061n
deub;B62;;Kirchhain;deu.b062
deub;B62;;Zella-Mehlis;deu.b062zel
deub;B62;AST;Siegen;deu.b062ast
deub;B62;AST;Eiserfeld;deu.b062asteis
deub;B62;AST;Friedewald;deu.b062astfri
deub;B63;;;deu.b063
deub;B64;;;deu.b064
