system;route;banner;name;roots
frapdld53;D1;-53;;frapdl.d000153
frapdld53;D3;-53;;frapdl.d000353
frapdld53;D4;-53;;frapdl.d000453
frapdld53;D5;-53;;frapdl.d000553
frapdld53;D6;-53;;frapdl.d000653
frapdld53;D7;-53;;frapdl.d000753
frapdld53;D9;-53;;frapdl.d000953
frapdld53;D10;-53;;frapdl.d001053
frapdld53;D11;-53;;frapdl.d001153
frapdld53;D12;-53;;frapdl.d001253
frapdld53;D13;-53;;frapdl.d001353
frapdld53;D14;-53;;frapdl.d001453
frapdld53;D15;-53;;frapdl.d001553
frapdld53;D16;-53;;frapdl.d001653
frapdld53;D20;-53;Évron;frapdl.d002053
frapdld53;D20;-53;Chemazé;frapdl.d002053che
frapdld53;D21;-53;;frapdl.d002153
frapdld53;D22;-53;;frapdl.d002253
frapdld53;D22E;-53;;frapdl.d0022e53
frapdld53;D23;-53;;frapdl.d002353
frapdld53;D24;-53;;frapdl.d002453
frapdld53;D25;-53;;frapdl.d002553
frapdld53;D27;-53;;frapdl.d002753
frapdld53;D28;-53;;frapdl.d002853
frapdld53;D29;-53;;frapdl.d002953
frapdld53;D30;-53;;frapdl.d003053
frapdld53;D31;-53;;frapdl.d003153
frapdld53;D32;-53;;frapdl.d003253
frapdld53;D33;-53;;frapdl.d003353
frapdld53;D34;-53;;frapdl.d003453
frapdld53;D35;-53;;frapdl.d003553
frapdld53;D57;-53;;frapdl.d005753
frapdld53;D102;-53;;frapdl.d010253
frapdld53;D103;-53;;frapdl.d010353
frapdld53;D104;-53;;frapdl.d010453
frapdld53;D105;-53;;frapdl.d010553
frapdld53;D106;-53;;frapdl.d010653bou,frabre.d010653,frapdl.d010653
frapdld53;D107;-53;;frapdl.d010753
frapdld53;D108;-53;;frapdl.d010853
frapdld53;D109;-53;;frapdl.d010953
frapdld53;D110;-53;;frapdl.d011053
frapdld53;D111;-53;;frapdl.d011153
frapdld53;D112;-53;Laval;frapdl.d011253lav
frapdld53;D112;-53;Houssay;frapdl.d011253
frapdld53;D113;-53;;frapdl.d011353
frapdld53;D114;-53;;frapdl.d011453
frapdld53;D115;-53;;frapdl.d011553
frapdld53;D116;-53;;frapdl.d011653
frapdld53;D118;-53;;frapdl.d011853
frapdld53;D119;-53;;frapdl.d011953
frapdld53;D122;-53;;frapdl.d012253pon,frabre.d012253,frapdl.d012253
frapdld53;D176;-53;;frapdl.d017653
frapdld53;D304;-53;;frapdl.d030453
frapdld53;D771;-53;;frapdl.d077153
frapdld53;D900;-53;;frapdl.d090053
