systemName;route;banner;groupName;roots
franord76;D1;-76;;franor.d000176
franord76;D1A;-76;;franor.d0001a76
franord76;D1B;-76;;franor.d0001b76
franord76;D1C;-76;;franor.d0001c76
franord76;D1D;-76;;franor.d0001d76
franord76;D1E;-76;;franor.d0001e76
franord76;D1F;-76;;franor.d0001f76
franord76;D1G;-76;;franor.d0001g76
franord76;D1J;-76;;franor.d0001j76
franord76;D2;-76;;franor.d000276
franord76;D2A;-76;;franor.d0002a76
franord76;D3;-76;;franor.d000376
franord76;D3A;-76;;franor.d0003a76
franord76;D3B;-76;;franor.d0003b76
franord76;D4;-76;;franor.d000476
franord76;D5;-76;;franor.d000576
franord76;D5A;-76;Les Petites Dalles;franor.d0005a76
franord76;D5A;-76;Sassetot-le-Mauconduit;franor.d0005a76sas
franord76;D6;-76;;franor.d000676
franord76;D7;-76;(Main);franor.d000776
franord76;D7;-76;Elbeuf;franor.d000776elb
franord76;D7B;-76;;franor.d0007b76
franord76;D8;-76;;franor.d000876
franord76;D9;-76;;franor.d000976
franord76;D9A;-76;;franor.d0009a76
franord76;D10;-76;;franor.d001076
franord76;D10A;-76;;franor.d0010a76
franord76;D11;-76;;franor.d001176
franord76;D12;-76;;franor.d001276
franord76;D13;-76;;franor.d001376
franord76;D13A;-76;;franor.d0013a76
franord76;D13B;-76;;franor.d0013b76
franord76;D13D;-76;;franor.d0013d76
franord76;D13E;-76;;franor.d0013e76
franord76;D14;-76;;franor.d001476
franord76;D14A;-76;;franor.d0014a76
franord76;D15;-76;;franor.d001576
franord76;D16;-76;;franor.d001676
franord76;D17;-76;Thiétreville;franor.d001776
franord76;D17;-76;Saint-Antoine-la-Forêt;franor.d001776ant
franord76;D17B;-76;;franor.d0017b76
franord76;D18;-76;;franor.d001876
franord76;D18E;-76;;franor.d0018e76
franord76;D19;-76;;franor.d001976
franord76;D20;-76;(Main);franor.d002076
franord76;D20;-76;Clos des Citots;franor.d002076clo
franord76;D20A;-76;;franor.d0020a76
franord76;D21;-76;Roncherolles-en-Bray;franor.d002176ron
franord76;D21;-76;Gournay-en-Bray;franor.d002176
franord76;D21A;-76;;franor.d0021a76
franord76;D22;-76;;franor.d002276
franord76;D22A;-76;;franor.d0022a76
franord76;D23;-76;Bacqueville-en-Caux;franor.d002376
franord76;D23;-76;Motteville;franor.d002376mot
franord76;D23A;-76;;franor.d0023a76
franord76;D24;-76;;franor.d002476
franord76;D25;-76;;franor.d002576
franord76;D25A;-76;;franor.d0025a76
franord76;D25E;-76;;franor.d0025e76
franord76;D26;-76;;franor.d002676
franord76;D27;-76;;franor.d002776
franord76;D28;-76;;franor.d002876
franord76;D28A;-76;;franor.d0028a76
franord76;D29;-76;;franor.d002976
franord76;D30;-76;;franor.d003076
franord76;D31;-76;;franor.d003176
franord76;D31B;-76;;franor.d0031b76
franord76;D32;-76;Gonneville-la-Mallet;franor.d00376
franord76;D32;-76;Le Havre;franor.d00376hav
franord76;D33;-76;Saint-Pierre-en-Port;franor.d003376pie
franord76;D33;-76;Bermonville;franor.d003376
franord76;D34;-76;Saint-Romain-de-Colbosc;franor.d003476rom
franord76;D34;-76;Lillebonne;franor.d003476
franord76;D35;-76;;franor.d003576
franord76;D36;-76;;franor.d003676
franord76;D37;-76;Doudeville;franor.d003776
franord76;D37;-76;Touffreville-la-Corbeline;franor.d003776tou
franord76;D37A;-76;;franor.d0037a76
franord76;D38;-76;;franor.d003876
franord76;D39;-76;;franor.d003976
franord76;D154E;-76;;franor.d0154e76
franord76;D418;-76;;franor.d041876
franord76;D485;-76;;franor.d048576
franord76;D489;-76;;franor.d048976
franord76;D925;-76;;franor.d092576
franord76;D925;-76;Eu;franor.d092576eu
franord76;D927;-76;Dieppe;franor.d092776die
franord76;D938;-76;;franor.d093876
franord76;D940;-76;Eu;franor.d094076eu
franord76;D6015;-76;;franor.d601576
franord76;D6028;-76;;franor.d602876
franord76;D6282;-76;;franor.d638276
