systemName;region;route;banner;abbrev;city;root;altRouteNames
indaho;IND-MN;AH1;x;;;indmn.ah001x;AH1
indaho;IND-NL;AH1;x;;;indnl.ah001x;AH1
indaho;IND-AS;AH1;x;;;indas.ah001x;AH1
indaho;IND-ML;AH1;x;;;indml.ah001x;AH1
indaho;IND-WB;AH1;x;;;indwb.ah001x;
indaho;IND-JH;AH1;x;;;indjh.ah001x;AH1
indaho;IND-BR;AH1;x;;;indbr.ah001x;AH1
indaho;IND-UP;AH1;x;;;indup.ah001x;AH1
indaho;IND-DL;AH1;x;;;inddl.ah001x;
indaho;IND-HR;AH1;x;;;indhr.ah001x;AH1
indaho;IND-PB;AH1;x;;;indpb.ah001x;AH1
indaho;IND-MN;AH2;x;;;indmn.ah002x;AH2
indaho;IND-NL;AH2;x;;;indnl.ah002x;AH2
indaho;IND-AS;AH2;x;;;indas.ah002x;AH2
indaho;IND-ML;AH2;x;;;indml.ah002x;AH2
indaho;IND-WB;AH2;x;;;indwb.ah002x;
indaho;IND-UT;AH2;x;;;indut.ah002x;AH2
indaho;IND-UP;AH2;x;;;indup.ah002x;AH2
indaho;IND-DL;AH2;x;;;inddl.ah002x;
indaho;IND-HR;AH2;x;;;indhr.ah002x;AH2
indaho;IND-PB;AH2;x;;;indpb.ah002x;AH2
indaho;IND-BR;AH42;x;;;indbr.ah042x;AH42
indaho;IND-JH;AH42;x;;;indjh.ah042x;AH42
indaho;IND-UP;AH43;x;;Agra;indup.ah043x;AH43
indaho;IND-RJ;AH43;x;;;indrj.ah043x;AH43
indaho;IND-MP;AH43;x;Gwa;Gwalior;indmp.ah043xgwa;AH43Gwa
indaho;IND-UP;AH43;x;Jha;Jhansi;indup.ah043xjha;AH43Jha
indaho;IND-MP;AH43;x;Kha;Khailar;indmp.ah043xkha;AH43Kha
indaho;IND-UP;AH43;x;Lal;Lalitpur;indup.ah043xlal;AH43Lal
indaho;IND-MP;AH43;x;;Sagar;indmp.ah043x;AH43
indaho;IND-MH;AH43;x;;;indmh.ah043x;AH43
indaho;IND-TG;AH43;x;;;indtg.ah043x;AH43
indaho;IND-AP;AH43;x;;;indap.ah043x;AH43
indaho;IND-KA;AH43;x;;;indka.ah043x;AH43
indaho;IND-TN;AH43;x;;;indtn.ah043x;AH43
indaho;IND-WB;AH45;x;;;indwb.ah045x;
indaho;IND-OR;AH45;x;;;indor.ah045x;AH45
indaho;IND-AP;AH45;x;;;indap.ah045x;AH45
indaho;IND-TN;AH45;x;;;indtn.ah045x;AH45
indaho;IND-KA;AH45;x;;;indka.ah045x;AH45
indaho;IND-WB;AH46;x;;;indwb.ah046x;
indaho;IND-JH;AH46;x;;;indjh.ah046x;AH46
indaho;IND-OR;AH46;x;;;indor.ah046x;AH46
indaho;IND-CT;AH46;x;;;indct.ah046x;AH46
indaho;IND-MH;AH46;x;;;indmh.ah046x;AH46
indaho;IND-MP;AH47;x;;;indmp.ah047x;AH47
indaho;IND-MH;AH47;x;;;indmh.ah047x;AH47
indaho;IND-KA;AH47;x;;;indka.ah047x;AH47
indaho;IND-MH;AH47;x;Mum;Mumbai (branch);indmh.ah047xmum;AH47Mum
indaho;IND-WB;AH48;x;;;indwb.ah048x;
