systemName;route;banner;groupName;roots
jpne;E1;;;jpn.e001
jpne;E1A;;Ebina;jpn.e001aebi
jpne;E1A;;Nagoya;jpn.e001a
jpne;E1A;;Yawata;jpn.e001ayaw
jpne;E1A;;Kawanishi;jpn.e001akaw
jpne;E2;;Hiroshima;jpn.e002
jpne;E2;;Ube;jpn.e002ube
jpne;E2;;Kimi Branch Line;jpn.e002kim
jpne;E2;;Kurashiki Hayashima Branch Line;jpn.e002kur
jpne;E2;;Hatsukaichi;jpn.e002hat
jpne;E2A;;;jpn.e002a
jpne;E3;;;jpn.e003
jpne;E3A;;Yatsushiro;jpn.e003ayat
jpne;E3A;;Izumi;jpn.e003aizu
jpne;E3A;;Kagoshima;jpn.e003a
jpne;E4;;;jpn.e004
jpne;E4A;;Hachinohe;jpn.e004a
jpne;E4A;;Michinoku;jpn.e004amic
jpne;E4A;;Aomori;jpn.e004aaom
jpne;E4A;;Hachinohe spur;jpn.e004ahac
jpne;E5;;Nanae;jpn.e005nan
jpne;E5;;Sapporo;jpn.e005
jpne;E5;;Nayoro;jpn.e005nay
jpne;E5;;Toyotomi;jpn.e005toy
jpne;E5A;;Sapporo;jpn.e005a
jpne;E5A;;Otaru;jpn.e005aota
jpne;E5A;;Kuromatsunai;jpn.e005akur
jpne;E6;;;jpn.e006
jpne;E7;;Niigata;jpn.e007
jpne;E7;;Sakata;jpn.e007sak
jpne;E7;;Akita;jpn.e007aki
jpne;E7;;Odate;jpn.e007oda
jpne;E8;;;jpn.e008
jpne;E9;;Kyoto;jpn.e009
jpne;E9;;Hamada;jpn.e009ham
jpne;E9;;Iwami;jpn.e009iwa
jpne;E9;;Kami;jpn.e009kam
jpne;E9;;Kushirocho;jpn.e009kus
jpne;E9;;Masuda;jpn.e009mas
jpne;E9;;Matsue;jpn.e009mat
jpne;E9;;Nagato;jpn.e009nag
jpne;E9;;Sammi;jpn.e009sam
jpne;E9;;Tottori;jpn.e009tot
jpne;E10;;;jpn.e010
jpne;E10;;Miyazaki Branch Line;jpn.e010miy
jpne;E11;;;jpn.e011
jpne;E13;;Fukushima;jpn.e013
jpne;E13;;Nozoki;jpn.e013noz
jpne;E13;;Yokote;jpn.e013yok
jpne;E14;;;jpn.e014
jpne;E14;;Kisarazu South Branch Line;jpn.e014kis
jpne;E16;;;jpn.e016
jpne;E16;;Namiki;jpn.e016nam
jpne;E17;;;jpn.e017
jpne;E18;;;jpn.e018
jpne;E19;;;jpn.e019
jpne;E20;;;jpn.e020
jpne;E23;;;jpn.e023
jpne;E24;;Kyotanabe;jpn.e024kyo
jpne;E24;;Shiki;jpn.e024shi
jpne;E24;;Kinokawa;jpn.e024
jpne;E25;;;jpn.e025
jpne;E26;;;jpn.e026
jpne;E27;;;jpn.e027
jpne;E28;;;jpn.e028
jpne;E29;;Tatsuno;jpn.e029tat
jpne;E29;;Ohara;jpn.e029oha
jpne;E29;;Tottori;jpn.e029
jpne;E30;;;jpn.e030
jpne;E31;;;jpn.e031
jpne;E32;;;jpn.e032
jpne;E32;;Kawanoe;jpn.e032kaw
jpne;E34;;;jpn.e034
jpne;E35;;Sasebo;jpn.e035
jpne;E35;;Matsuura;jpn.e035mat
jpne;E35;;Karatsu;jpn.e035kar
jpne;E35;;Fukuoka;jpn.e035fuk
jpne;E38;;;jpn.e038
jpne;E38;;Kushiro;jpn.e038kus
jpne;E39;;;jpn.e039
jpne;E41;;;jpn.e041
jpne;E41;;Anamizu;jpn.e041ana
jpne;E42;;Odai;jpn.e042
jpne;E42;;Kiho;jpn.e042kih
jpne;E42;;Shingu;jpn.e042shi
jpne;E42;;Wakayama;jpn.e042wak
jpne;E44;;Kushiro;jpn.e044kus
jpne;E44;;Nemuro;jpn.e044
jpne;E45;;;jpn.e045
jpne;E46;;;jpn.e046
jpne;E48;;Yamagata;jpn.e048
jpne;E48;;Tsuruoka;jpn.e048tsu
jpne;E49;;;jpn.e049
jpne;E50;;;jpn.e050
jpne;E51;;Shisui;jpn.e051
jpne;E51;;Ibaraki;jpn.e051iba
jpne;E52;;Kofu;jpn.e052
jpne;E52;;Saku;jpn.e052sak
jpne;E54;;;jpn.e054
jpne;E55;;Nankoku;jpn.e055
jpne;E55;;Tano;jpn.e055tan
jpne;E55;;Kiki;jpn.e055kik
jpne;E55;;Tokushima;jpn.e055tok
jpne;E55;;Wada;jpn.e055wad
jpne;E56;;Ozu;jpn.e056
jpne;E56;;Ichinose;jpn.e056ich
jpne;E56;;Shimanto;jpn.e056shi
jpne;E56;;Kochi;jpn.e056koc
jpne;E58;;;jpn.e058
jpne;E58;;Shuri;jpn.e058shu
jpne;E59;;;jpn.e059
jpne;E60;;;jpn.e060
jpne;E61;;Honbetsu;jpn.e061hon
jpne;E61;;Kitami;jpn.e061
jpne;E61;;Bihoro;jpn.e061bih
jpne;E62;;;jpn.e062
jpne;E63;;;jpn.e063
jpne;E64;;Goshogawara;jpn.e064
jpne;E64;;Ajigasawa;jpn.e064aji
jpne;E65;;;jpn.e065
jpne;E67;;Hirayu;jpn.e067hir
jpne;E67;;Shirotori;jpn.e067
jpne;E67;;Eiheiji;jpn.e067eih
jpne;E68;;;jpn.e068
jpne;E69;;Iida;jpn.e069iid
jpne;E69;;Yahazu;jpn.e069yah
jpne;E69;;Urakawa;jpn.e069ura
jpne;E69;;Hamamatsu;jpn.e069
jpne;E70;;Shimizu;jpn.e070
jpne;E70;;Izu;jpn.e070izu
jpne;E70;;Kaw;jpn.e070kaw
jpne;E71;;;jpn.e071
jpne;E72;;;jpn.e072
jpne;E73;;;jpn.e073
jpne;E74;;;jpn.e074
jpne;E75;;;jpn.e075
jpne;E76;;Onomichi;jpn.e076
jpne;E76;;Saijo;jpn.e076sai
jpne;E77;;Kumamoto;jpn.e077kum
jpne;E77;;Takachiho;jpn.e077tak
jpne;E77;;Nobeoka;jpn.e077
jpne;E78;;Miyazaki;jpn.e078miy
jpne;E78;;Kirishima;jpn.e078
jpne;E80;;;jpn.e080
jpne;E81;;;jpn.e081
jpne;E82;;;jpn.e082
jpne;E83;;;jpn.e083
jpne;E83;;Mitsuzawa;jpn.e083mit
jpne;E84;;Chigaski;jpn.e084chi
jpne;E84;;Odawara;jpn.e084
jpne;E84;;Ishibashi Branch Line;jpn.e084ish
jpne;E85;;;jpn.e085
