systemName;region;route;banner;abbrev;city;root;altRouteNames
tharr;THA;Kc024;;;กจ.024;tha.kc024;
tharr;THA;Kc3001;;;กจ.3001;tha.kc3001;
tharr;THA;Kc4002;;;กจ.4002;tha.kc4002;
tharr;THA;Kc3003;;;กจ.3003;tha.kc3003;
tharr;THA;Kc4004;;;กจ.4004;tha.kc4004;
tharr;THA;Kc4006;;;กจ.4006;tha.kc4006;
tharr;THA;Kc3007;;;กจ.3007;tha.kc3007;
tharr;THA;Kc5008;;;กจ.5008;tha.kc5008;
tharr;THA;Kc4009;;;กจ.4009;tha.kc4009;
tharr;THA;Kc4010;;;กจ.4010;tha.kc4010;
tharr;THA;Kc4011;;;กจ.4011;tha.kc4011;
tharr;THA;Kc4012;;;กจ.4012;tha.kc4012;
tharr;THA;Kc4015;;;กจ.4015;tha.kc4015;
tharr;THA;Kc4016;;;กจ.4016;tha.kc4016;
tharr;THA;Kc4018;;;กจ.4018;tha.kc4018;
tharr;THA;Kc4019;;;กจ.4019;tha.kc4019;
tharr;THA;Kc4020;;;กจ.4020;tha.kc4020;
tharr;THA;Kc3021;;;กจ.3021;tha.kc3021;
tharr;THA;Kc4022;;;กจ.4022;tha.kc4022;
tharr;THA;Kc4023;;;กจ.4023;tha.kc4023;
tharr;THA;Kc4024;;;กจ.4024;tha.kc4024;
tharr;THA;Kc4025;;;กจ.4025;tha.kc4025;
tharr;THA;Kc4026;;;กจ.4026;tha.kc4026;
tharr;THA;Kc4027;;;กจ.4027;tha.kc4027;
tharr;THA;Kc4028;;;กจ.4028;tha.kc4028;
tharr;THA;Kc4029;;;กจ.4029;tha.kc4029;
tharr;THA;Kc6030;;;กจ.6030;tha.kc6030;
tharr;THA;Kc4032;;;กจ.4032;tha.kc4032;
tharr;THA;Kc5033;;;กจ.5033;tha.kc5033;
tharr;THA;Kc4034;;;กจ.4034;tha.kc4034;
tharr;THA;Kc4035;;;กจ.4035;tha.kc4035;
tharr;THA;Kc3036;;;กจ.3036;tha.kc3036;
tharr;THA;Kc4041;;;กจ.4041;tha.kc4041;
tharr;THA;Kc4042;;;กจ.4042;tha.kc4042;
tharr;THA;Kc6043;;;กจ.6043;tha.kc6043;
tharr;THA;Kc5045;;;กจ.5045;tha.kc5045;
tharr;THA;Kc4048;;;กจ.4048;tha.kc4048;
tharr;THA;Kc3049;;;กจ.3049;tha.kc3049;
tharr;THA;Kc4050;;;กจ.4050;tha.kc4050;
tharr;THA;Kc4051;;;กจ.4051;tha.kc4051;
tharr;THA;Kc4052;;;กจ.4052;tha.kc4052;
tharr;THA;Kc6053;;;กจ.6053;tha.kc6053;
tharr;THA;Kc4054;;;กจ.4054;tha.kc4054;
tharr;THA;Kc4055;;;กจ.4055;tha.kc4055;
tharr;THA;Kc4056;;;กจ.4056;tha.kc4056;
tharr;THA;Kc5058;;;กจ.5058;tha.kc5058;
tharr;THA;Kc5061;;;กจ.5061;tha.kc5061;
tharr;THA;Kc4062;;;กจ.4062;tha.kc4062;
tharr;THA;Kc4063;;;กจ.4063;tha.kc4063;
tharr;THA;Kc4064;;;กจ.4064;tha.kc4064;
tharr;THA;Kc4065;;;กจ.4065;tha.kc4065;
tharr;THA;Kc4066;;;กจ.4066;tha.kc4066;
tharr;THA;Kc6067;;;กจ.6067;tha.kc6067;
tharr;THA;Kc4069;;;กจ.4069;tha.kc4069;
tharr;THA;Kc4071;;;กจ.4071;tha.kc4071;
tharr;THA;Kc5072;;;กจ.5072;tha.kc5072;
tharr;THA;Kc4073;;;กจ.4073;tha.kc4073;
