systemName;route;banner;groupName;roots
norrv;Rv2;;;nor.rv002
norrv;Rv3;;;nor.rv003
norrv;Rv4;;;nor.rv004
norrv;Rv5;;Lærdal;nor.rv005lae
norrv;Rv5;;Førde;nor.rv005
norrv;Rv7;;;nor.rv007
norrv;Rv9;;;nor.rv009
norrv;Rv12;;;nor.rv012
norrv;Rv13;;Sandnes;nor.rv013san
norrv;Rv13;;Jørpeland;nor.rv013jor
norrv;Rv13;;Odda;nor.rv013
norrv;Rv15;;;nor.rv015
norrv;Rv19;;Moss;nor.rv019
norrv;Rv19;;Horten;nor.rv019hor
norrv;Rv21;;;nor.rv021
norrv;Rv22;;;nor.rv022
norrv;Rv23;;;nor.rv023
norrv;Rv25;;;nor.rv025
norrv;Rv35;;;nor.rv035
norrv;Rv36;;;nor.rv036
norrv;Rv40;;;nor.rv040
norrv;Rv41;;;nor.rv041
norrv;Rv42;;;nor.rv042
norrv;Rv44;;;nor.rv044
norrv;Rv52;;;nor.rv052
norrv;Rv55;;;nor.rv055
norrv;Rv70;;;nor.rv070
norrv;Rv73;;;nor.rv073
norrv;Rv77;;;nor.rv077
norrv;Rv80;;;nor.rv080
norrv;Rv80;;Bodø Lufthavn (spur);nor.rv080bod
norrv;Rv83;;;nor.rv083
norrv;Rv85;;Bognes;nor.rv085bog
norrv;Rv85;;Sortland;nor.rv085
norrv;Rv92;;Karasjok;nor.rv092
norrv;Rv92;;Neiden;nor.rv092nei
norrv;Rv93;;;nor.rv093
norrv;Rv94;;;nor.rv094
norrv;Rv110;;;nor.rv110
norrv;Rv111;;;nor.rv111
norrv;Rv120;;;nor.rv120
norrv;Rv150;;;nor.rv150
norrv;Rv159;;;nor.rv159
norrv;Rv163;;;nor.rv163
norrv;Rv191;;;nor.rv191
norrv;Rv354;;;nor.rv354
norrv;Rv451;;;nor.rv451
norrv;Rv509;;;nor.rv509
norrv;Rv555;;;nor.rv555
norrv;Rv580;;;nor.rv580
norrv;Rv651;;Volda;nor.rv651vol
norrv;Rv651;;Folkestad;nor.rv651
norrv;Rv658;;;nor.rv658
norrv;Rv681;;;nor.rv681
norrv;Rv706;;;nor.rv706
norrv;Rv827;;Drag;nor.rv827dra
norrv;Rv827;;Kjøpsvik;nor.rv827
norrv;Rv833;;;nor.rv833
norrv;Rv853;;;nor.rv853
norrv;Rv862;;;nor.rv862
norrv;Rv881;;;nor.rv881
norrv;Rv887;;;nor.rv887
norrv;Rv892;;;nor.rv892
