System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
cansph;NL;NL2;;;;nl.nl002;
cansph;NL;NL3A;;;;nl.nl003a;
cansph;NL;NL100;;;;nl.nl100;
cansph;NL;NL430;;;;nl.nl430;
cansph;QC;QC133;;;;qc.qc133;
cansph;QC;QC155;;;;qc.qc155;
cansph;QC;QC170;;;;qc.qc170;
cansph;QC;QC173;;;;qc.qc173;
cansph;QC;QC175;;;;qc.qc175;
cansph;SK;SK2;;;;sk.sk002;
cansph;SK;SK4;;;;sk.sk004;
cansph;SK;SK6;;;;sk.sk006;
cansph;SK;SK7;;;;sk.sk007;
cansph;SK;SK11;;;;sk.sk011;
cansph;SK;SK35;;;;sk.sk035;
cansph;SK;SK39;;;;sk.sk039;
