systemName;region;route;banner;abbrev;city;root;altRouteNames
canqc;QC;QC101;;;;qc.qc101;
canqc;QC;QC104;;;;qc.qc104;
canqc;QC;QC105;;;;qc.qc105;
canqc;QC;QC107;;;;qc.qc107;
canqc;QC;QC108;;;;qc.qc108;
canqc;QC;QC109;;;;qc.qc109;
canqc;QC;QC111;;;;qc.qc111;
canqc;QC;QC112;;;;qc.qc112;
canqc;QC;QC113;;;;qc.qc113;
canqc;QC;QC116;;;;qc.qc116;
canqc;QC;QC117;;;;qc.qc117;
canqc;QC;QC122;;;;qc.qc122;
canqc;QC;QC125;;;;qc.qc125;
canqc;QC;QC131;;;;qc.qc131;
canqc;QC;QC132;;;;qc.qc132;
canqc;QC;QC133;;;;qc.qc133;
canqc;QC;QC134;;;;qc.qc134;
canqc;QC;QC136;;;;qc.qc136;
canqc;QC;QC137;;;;qc.qc137;
canqc;QC;QC138;;;;qc.qc138;
canqc;QC;QC138;;Mon;Montréal;qc.qc138mon;
canqc;QC;QC138;;Tet;Tête-à-la-Baleine;qc.qc138tet;
canqc;QC;QC138;;Tab;La Tabatière;qc.qc138tab;
canqc;QC;QC138;;Bla;Blanc-Sablon;qc.qc138bla;
canqc;QC;QC139;;;;qc.qc139;
canqc;QC;QC141;;;;qc.qc141;
canqc;QC;QC143;;;;qc.qc143;
canqc;QC;QC147;;;;qc.qc147;
canqc;QC;QC148;;;;qc.qc148;
canqc;QC;QC153;;;;qc.qc153;
canqc;QC;QC155;;;;qc.qc155;
canqc;QC;QC157;;;;qc.qc157;
canqc;QC;QC158;;;;qc.qc158;
canqc;QC;QC159;;;;qc.qc159;
canqc;QC;QC161;;;;qc.qc161;
canqc;QC;QC162;;;;qc.qc162;
canqc;QC;QC165;;;;qc.qc165;
canqc;QC;QC167;;;;qc.qc167;
canqc;QC;QC169;;;;qc.qc169;
canqc;QC;QC170;;;;qc.qc170;
canqc;QC;QC171;;;;qc.qc171;
canqc;QC;QC172;;;;qc.qc172;
canqc;QC;QC173;;;;qc.qc173;
canqc;QC;QC175;;;;qc.qc175;
canqc;QC;QC185;;;;qc.qc185;
canqc;QC;QC191;;;;qc.qc191;
canqc;QC;QC195;;;;qc.qc195;
canqc;QC;QC197;;;;qc.qc197;
canqc;QC;QC198;;;;qc.qc198;
canqc;QC;QC199;;;;qc.qc199;
canqc;QC;QC201;;;;qc.qc201;
canqc;QC;QC202;;;;qc.qc202;
canqc;QC;QC203;;;;qc.qc203;
canqc;QC;QC204;;;;qc.qc204;
canqc;QC;QC205;;;;qc.qc205;
canqc;QC;QC206;;;;qc.qc206;
canqc;QC;QC207;;;;qc.qc207;
canqc;QC;QC208;;;;qc.qc208;
canqc;QC;QC209;;;;qc.qc209;
canqc;QC;QC210;;;;qc.qc210;
canqc;QC;QC211;;;;qc.qc211;
canqc;QC;QC212;;;;qc.qc212;
canqc;QC;QC213;;;;qc.qc213;
canqc;QC;QC214;;;;qc.qc214;
canqc;QC;QC215;;;;qc.qc215;
canqc;QC;QC216;;;;qc.qc216;
canqc;QC;QC217;;;;qc.qc217;
canqc;QC;QC218;;;;qc.qc218;
canqc;QC;QC219;;;;qc.qc219;
canqc;QC;QC220;;;;qc.qc220;
canqc;QC;QC221;;;;qc.qc221;
canqc;QC;QC222;;;;qc.qc222;
canqc;QC;QC223;;;;qc.qc223;
canqc;QC;QC224;;;;qc.qc224;
canqc;QC;QC225;;;;qc.qc225;
canqc;QC;QC226;;;;qc.qc226;
canqc;QC;QC227;;;;qc.qc227;
canqc;QC;QC228;;;;qc.qc228;
canqc;QC;QC229;;;;qc.qc229;
canqc;QC;QC230;;;;qc.qc230;
canqc;QC;QC231;;;;qc.qc231;
canqc;QC;QC232;;;;qc.qc232;
canqc;QC;QC233;;;;qc.qc233;
canqc;QC;QC234;;;;qc.qc234;
canqc;QC;QC235;;;;qc.qc235;
canqc;QC;QC236;;;;qc.qc236;
canqc;QC;QC237;;;;qc.qc237;
canqc;QC;QC239;;;;qc.qc239;
