system;route;banner;groupname;roots
estt;T12;;;est.t012
estt;T13;;;est.t013
estt;T14;;(outlined);est.t014
estt;T15;;(outlined);est.t015
estt;T17;;(outlined);est.t017
estt;T18;;;est.t018
estt;T20;;(outlined);est.t020
estt;T21;;(outlined);est.t021
estt;T22;;(outlined);est.t022
estt;T23;;;est.t023
estt;T24;;(outlined);est.t024
estt;T25;;(outlined);est.t025
estt;T26;;(outlined);est.t026
estt;T27;;(outlined);est.t027
estt;T28;;(outlined);est.t028
estt;T29;;(outlined);est.t029
estt;T31;;(outlined);est.t031
estt;T32;;(notdone);est.t032
estt;T33;;(notdone);est.t033
estt;T34;;;est.t034
estt;T35;;(outlined);est.t035
estt;T36;;(outlined);est.t036
estt;T37;;(outlined);est.t037
estt;T38;;(outlined);est.t038
estt;T39;;(outlined);est.t039
estt;T40;;(outlined);est.t040
estt;T41;;(outlined);est.t041
estt;T42;;(outlined);est.t042
estt;T43;;(outlined);est.t043
estt;T44;;(outlined);est.t044
estt;T45;;(outlined);est.t045
estt;T46;;(outlined);est.t046
estt;T47;;(outlined);est.t047
estt;T48;;(notdone);est.t048
estt;T49;;(outlined);est.t049
estt;T50;;;est.t050
estt;T51;;(outlined);est.t051
estt;T52;;(outlined);est.t052
estt;T53;;;est.t053
estt;T54;;(notdone);est.t054
estt;T55;;(notdone);est.t055
estt;T57;;(outlined);est.t057
estt;T58;;(outlined);est.t058
estt;T59;;(outlined);est.t059
estt;T60;;(outlined);est.t060
estt;T61;;(outlined);est.t061
estt;T62;;(outlined);est.t062
estt;T63;;(outlined);est.t063
estt;T64;;(outlined);est.t064
estt;T65;;(outlined);est.t065
estt;T66;;(outlined);est.t066
estt;T67;;(outlined);est.t067
estt;T68;;(outlined);est.t068
estt;T69;;(outlined);est.t069
estt;T70;;;est.t070
estt;T71;;(outlined);est.t071
estt;T72;;(outlined);est.t072
estt;T73;;(outlined);est.t073
estt;T75;;;est.t075
estt;T76;;;est.t076
estt;T77;;(outlined);est.t077
estt;T78;;(outlined);est.t078
estt;T79;;(outlined);est.t079
estt;T80;;(notdone);est.t080
estt;T81;;(notdone);est.t081
estt;T82;;(notdone);est.t082
estt;T83;;(notdone);est.t083
estt;T84;;(notdone);est.t084
estt;T85;;(outlined);est.t085
estt;T86;;(outlined);est.t086
estt;T87;;;est.t087
estt;T88;;(outlined);est.t088
estt;T89;;(outlined);est.t089
estt;T90;;(outlined);est.t090
estt;T91;;(outlined);est.t091
estt;T93;;(outlined);est.t093
estt;T94;;;est.t094
estt;T95;;;est.t095
