systemName;route;banner;groupName;roots
usala;LA1;;;la.la0001
usala;LA1;Bus;Natchitoches;la.la0001busnat
usala;LA1;Bus;New Roads;la.la0001busnew
usala;LA2;;;la.la0002
usala;LA2;Alt;Haynesville;la.la0002althay
usala;LA2;Spr;Sarepta;la.la0002sprsar
usala;LA3;;;la.la0003
usala;LA4;;;la.la0004
usala;LA5;;;la.la0005
usala;LA6;;;la.la0006
usala;LA6;Bus;Natchitoches;la.la0006busnat
usala;LA8;;;la.la0008
usala;LA9;;;la.la0009
usala;LA9;Trk;Homer;la.la0009trkhom
usala;LA10;;Bogalusa;la.la0010
usala;LA10;;Ville Platte;la.la0010vil
usala;LA10;Bus;New Roads;la.la0010busnew
usala;LA10;Spr;Greensburg;la.la0010sprgre
usala;LA12;;;la.la0012
usala;LA13;;;la.la0013
usala;LA13;Trk;Crowley;la.la0013trkcro
usala;LA14;;;la.la0014
usala;LA14;Bus;Abbeville;la.la0014busabb
usala;LA14;Bus;Erath;la.la0014busera
usala;LA15;;;la.la0015
usala;LA16;;;la.la0016
usala;LA17;;;la.la0017
usala;LA18;;;la.la0018
usala;LA18;Spr;Westwego;la.la0018sprwes
usala;LA19;;;la.la0019
usala;LA20;;;la.la0020
usala;LA21;;;la.la0021
usala;LA22;;;la.la0022
usala;LA23;;;la.la0023
usala;LA24;;;la.la0024
usala;LA25;;;la.la0025
usala;LA26;;;la.la0026
usala;LA27;;Sulphur;la.la0027
usala;LA27;;Cameron;la.la0027cam
usala;LA28;;;la.la0028
usala;LA28;Bus;Alexandria;la.la0028busale
usala;LA29;;;la.la0029
usala;LA30;;;la.la0030
usala;LA31;;;la.la0031
usala;LA33;;;la.la0033
usala;LA34;;;la.la0034
usala;LA35;;;la.la0035
usala;LA36;;;la.la0036
usala;LA37;;;la.la0037
usala;LA38;;;la.la0038
usala;LA39;;;la.la0039
usala;LA40;;;la.la0040
usala;LA41;;;la.la0041
usala;LA42;;;la.la0042
usala;LA43;;;la.la0043
usala;LA44;;;la.la0044
usala;LA45;;;la.la0045
usala;LA46;;;la.la0046
usala;LA47;;;la.la0047
usala;LA48;;;la.la0048
usala;LA49;;;la.la0049
usala;LA50;;;la.la0050
usala;LA52;;;la.la0052
usala;LA53;;;la.la0053
usala;LA54;;;la.la0054
usala;LA55;;;la.la0055
usala;LA56;;;la.la0056
usala;LA57;;;la.la0057
usala;LA58;;;la.la0058
usala;LA59;;;la.la0059
usala;LA60;;;la.la0060
usala;LA62;;;la.la0062
usala;LA63;;;la.la0063
usala;LA64;;;la.la0064
usala;LA64-1;;;la.la00641
usala;LA66;;;la.la0066
usala;LA67;;;la.la0067
usala;LA68;;;la.la0068
usala;LA69;;;la.la0069
usala;LA70;;;la.la0070
usala;LA70;Spr;Plattenville;la.la0070sprpla
usala;LA72;;;la.la0072
usala;LA73;;;la.la0073
usala;LA74;;;la.la0074
usala;LA75;;St Gabriel;la.la0075
usala;LA75;;Plaquemine;la.la0075pla
usala;LA75;Spr;Bayou Sorrel;la.la0075sprbay
usala;LA76;;;la.la0076
usala;LA77;;;la.la0077
usala;LA78;;;la.la0078
usala;LA81;;;la.la0081
usala;LA82;;Abbeville;la.la0082
usala;LA82;;Holly Beach;la.la0082hol
usala;LA82;Trk;Abbeville;la.la0082trkabb
usala;LA83;;;la.la0083
usala;LA85;;;la.la0085
usala;LA86;;;la.la0086
usala;LA87;;;la.la0087
usala;LA87;Spr;New Iberia;la.la0087sprnew
usala;LA88;;;la.la0088
usala;LA89;;;la.la0089
usala;LA89-1;;;la.la00891
usala;LA91;;;la.la0091
usala;LA92;;;la.la0092
usala;LA92-1;;;la.la00921
usala;LA93;;;la.la0093
usala;LA94;;;la.la0094
usala;LA95;;;la.la0095
usala;LA95;Spr;Eunice;la.la0095spreun
usala;LA96;;;la.la0096
usala;LA97;;;la.la0097
usala;LA98;;;la.la0098
usala;LA99;;;la.la0099
usala;LA100;;;la.la0100
usala;LA101;;;la.la0101
usala;LA102;;;la.la0102
usala;LA103;;;la.la0103
usala;LA104;;;la.la0104
usala;LA105;;;la.la0105
usala;LA106;;;la.la0106
usala;LA107;;;la.la0107
usala;LA108;;;la.la0108
usala;LA109;;;la.la0109
usala;LA110;;;la.la0110
usala;LA111;;;la.la0111
usala;LA112;;;la.la0112
usala;LA113;;;la.la0113
usala;LA114;;;la.la0114
usala;LA115;;;la.la0115
usala;LA116;;;la.la0116
usala;LA117;;;la.la0117
usala;LA118;;;la.la0118
usala;LA119;;;la.la0119
usala;LA120;;Provencal;la.la0120pro
usala;LA120;;Zwolle;la.la0120
usala;LA121;;;la.la0121
usala;LA122;;;la.la0122
usala;LA123;;;la.la0123
