systemName;region;route;banner;abbrev;city;root;altRouteNames
mexf;MEX-BCS;MEX1;;;;mexbcs.mex001;
mexf;MEX-BC;MEX1;;;;mexbc.mex001;
mexf;MEX-BC;MEX2;;;;mexbc.mex002;
mexf;MEX-SON;MEX2;;;;mexson.mex002;
mexf;MEX-CHIH;MEX2;;;;mexchih.mex002;
mexf;MEX-CHIH;MEX2;;Oji;Ojinaga;mexchih.mex002oji;
mexf;MEX-COAH;MEX2;;;;mexcoah.mex002;
mexf;MEX-NL;MEX2;;;;mexnl.mex002;
mexf;MEX-TAM;MEX2;;;;mextam.mex002;
mexf;MEX-BC;MEX3;;;;mexbc.mex003;
mexf;MEX-BC;MEX5;;;;mexbc.mex005;
mexf;MEX-NAY;MEX5;;;;mexnay.mex005;
mexf;MEX-SON;MEX8;;;;mexson.mex008;
mexf;MEX-NAY;MEX9;;;;mexnay.mex009;
mexf;MEX-NL;MEX9;;;;mexnl.mex009;
mexf;MEX-CHIH;MEX10;;;;mexchih.mex010;
mexf;MEX-NAY;MEX10;;;;mexnay.mex010;
mexf;MEX-NAY;MEX11;;;;mexnay.mex011;
mexf;MEX-NAY;MEX12;;;;mexnay.mex012;
mexf;MEX-MICH;MEX14;;;;mexmich.mex014;
mexf;MEX-SON;MEX14;;;;mexson.mex014;
mexf;MEX-DF;MEX15;;;;mexdf.mex015;
mexf;MEX-EMEX;MEX15;;;;mexemex.mex015;
mexf;MEX-MICH;MEX15;;;;mexmich.mex015;
mexf;MEX-JAL;MEX15;;;;mexjal.mex015;
mexf;MEX-NAY;MEX15;;;;mexnay.mex015;
mexf;MEX-SIN;MEX15;;;;mexsin.mex015;
mexf;MEX-SON;MEX15;;;;mexson.mex015;
mexf;MEX-SON;MEX16;;;;mexson.mex016;
mexf;MEX-CHIH;MEX16;;;;mexchih.mex016;
mexf;MEX-SON;MEX17;;;;mexson.mex017;
mexf;MEX-BCS;MEX19;;;;mexbcs.mex019;
mexf;MEX-AGS;MEX22;;;;mexags.mex022;
mexf;MEX-BCS;MEX22;;;;mexbcs.mex022;
mexf;MEX-JAL;MEX23;;Cha;Chapala;mexjal.mex023cha;
mexf;MEX-JAL;MEX23;;Cri;San Cristóbal de la Barranca;mexjal.mex023cri;
mexf;MEX-ZAC;MEX23;;;Teúl de González Ortega;mexzac.mex023;
mexf;MEX-JAL;MEX23;;;Colotlán;mexjal.mex023;
mexf;MEX-ZAC;MEX23;;Tep;Tepetongo;mexzac.mex023tep;
mexf;MEX-ZAC;MEX23;;Fre;Fresnillo;mexzac.mex023fre;
mexf;MEX-DGO;MEX23;;Mez;Mezquital;mexdgo.mex023mez;
mexf;MEX-DGO;MEX23;;;Guanaceví;mexdgo.mex023;
mexf;MEX-SIN;MEX24;;;Badiraguato;mexsin.mex024;
mexf;MEX-SIN;MEX24;;Sab;Puerto Sabinal;mexsin.mex024sab;
mexf;MEX-DGO;MEX24;;Sab;Puerto Sabinal;mexdgo.mex024sab;
mexf;MEX-CHIH;MEX24;;Ver;El Vergel;mexchih.mex024ver;
mexf;MEX-DGO;MEX24;;;El Ojito;mexdgo.mex024;
mexf;MEX-CHIH;MEX24;;;Valle de Zaragoza;mexchih.mex024;
mexf;MEX-AGS;MEX25;;;Jaltomate;mexags.mex025;
mexf;MEX-ZAC;MEX25;;Laz;Lázaro Cárdenas;mexzac.mex025laz;
mexf;MEX-AGS;MEX25;;Cie;Ciénega Grande;mexags.mex025cie;
mexf;MEX-ZAC;MEX25;;;Loreto;mexzac.mex025;
mexf;MEX-NAY;MEX26;;;;mexnay.mex026;
mexf;MEX-NAY;MEX27;;;;mexnay.mex027;
mexf;MEX-COAH;MEX29;;;;mexcoah.mex029;
mexf;MEX-DGO;MEX30;;;;mexdgo.mex030;
mexf;MEX-COAH;MEX30;;;;mexcoah.mex030;
mexf;MEX-COAH;MEX30;;Cuc;Entronque La Cuchilla;mexcoah.mex030cuc;
mexf;MEX-NL;MEX30;;;;mexnl.mex030;
mexf;MEX-TAM;MEX30;;;;mextam.mex030;
mexf;MEX-NAY;MEX68;;;;mexnay.mex068;
