System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
hrvd;HRV;D1;;;;hrv.d001;
hrvd;HRV;D2;;;;hrv.d002;
hrvd;HRV;D3;;;;hrv.d003;
hrvd;HRV;D5;;;;hrv.d005;
hrvd;HRV;D6;;;;hrv.d006;
hrvd;HRV;D7;;;;hrv.d007;
hrvd;HRV;D8;;;Zadar;hrv.d008;
hrvd;HRV;D8;;Dub;Dubrovnik;hrv.d008dub;
hrvd;HRV;D9;;;;hrv.d009;
hrvd;HRV;D10;;;;hrv.d010;
hrvd;HRV;D14;;;;hrv.d014;
hrvd;HRV;D20;;;;hrv.d020;
hrvd;HRV;D22;;;;hrv.d022;
hrvd;HRV;D23;;;;hrv.d023;
hrvd;HRV;D24;;;;hrv.d024;
hrvd;HRV;D25;;;;hrv.d025;
hrvd;HRV;D26;;;;hrv.d026;
hrvd;HRV;D27;;;;hrv.d027;
hrvd;HRV;D28;;;;hrv.d028;
hrvd;HRV;D29;;;;hrv.d029;
hrvd;HRV;D30;;;;hrv.d030;
hrvd;HRV;D31;;;;hrv.d031;
hrvd;HRV;D32;;;;hrv.d032;
hrvd;HRV;D33;;;;hrv.d033;
hrvd;HRV;D34;;;;hrv.d034;
hrvd;HRV;D35;;;;hrv.d035;
hrvd;HRV;D36;;;;hrv.d036;
hrvd;HRV;D37;;;;hrv.d037;
hrvd;HRV;D38;;;;hrv.d038;
hrvd;HRV;D39;;;;hrv.d039;
hrvd;HRV;D40;;;;hrv.d040;
hrvd;HRV;D41;;;;hrv.d041;
hrvd;HRV;D42;;;;hrv.d042;
hrvd;HRV;D43;;;;hrv.d043;
hrvd;HRV;D44;;;;hrv.d044;
hrvd;HRV;D45;;;;hrv.d045;
hrvd;HRV;D46;;;;hrv.d046;
hrvd;HRV;D47;;;;hrv.d047;
hrvd;HRV;D48;;;;hrv.d048;
hrvd;HRV;D49;;;;hrv.d049;
hrvd;HRV;D50;;;;hrv.d050;
hrvd;HRV;D51;;;;hrv.d051;
hrvd;HRV;D52;;;;hrv.d052;
hrvd;HRV;D53;;;;hrv.d053;
hrvd;HRV;D54;;;;hrv.d054;
hrvd;HRV;D55;;;;hrv.d055;
hrvd;HRV;D56;;;;hrv.d056;
hrvd;HRV;D57;;;;hrv.d057;
hrvd;HRV;D58;;;;hrv.d058;
hrvd;HRV;D59;;;;hrv.d059;
hrvd;HRV;D60;;;;hrv.d060;
hrvd;HRV;D62;;;;hrv.d062;
hrvd;HRV;D64;;;;hrv.d064;
hrvd;HRV;D66;;;;hrv.d066;
hrvd;HRV;D69;;;;hrv.d069;
hrvd;HRV;D70;;;;hrv.d070;
hrvd;HRV;D72;;;;hrv.d072;
hrvd;HRV;D74;;;;hrv.d074;
hrvd;HRV;D75;;;;hrv.d075;
hrvd;HRV;D76;;;;hrv.d076;
hrvd;HRV;D100;;;;hrv.d100;
hrvd;HRV;D101;;;;hrv.d101;
hrvd;HRV;D102;;;;hrv.d102;
hrvd;HRV;D103;;;;hrv.d103;
hrvd;HRV;D104;;;;hrv.d104;
hrvd;HRV;D105;;;;hrv.d105;
hrvd;HRV;D106;;;;hrv.d106;
hrvd;HRV;D109;;;;hrv.d109;
hrvd;HRV;D110;;;;hrv.d110;
hrvd;HRV;D111;;;;hrv.d111;
hrvd;HRV;D112;;;;hrv.d112;
hrvd;HRV;D113;;;;hrv.d113;
hrvd;HRV;D114;;;;hrv.d114;
hrvd;HRV;D115;;;;hrv.d115;
hrvd;HRV;D116;;;;hrv.d116;
hrvd;HRV;D117;;;;hrv.d117;
hrvd;HRV;D118;;;;hrv.d118;
hrvd;HRV;D119;;;;hrv.d119;
hrvd;HRV;D120;;;;hrv.d120;
hrvd;HRV;D121;;;;hrv.d121;
hrvd;HRV;D123;;;;hrv.d123;
hrvd;HRV;D124;;;;hrv.d124;
hrvd;HRV;D126;;;;hrv.d126;
hrvd;HRV;D128;;;;hrv.d128;
hrvd;HRV;D200;;;;hrv.d200;
hrvd;HRV;D201;;;;hrv.d201;
hrvd;HRV;D203;;;;hrv.d203;
hrvd;HRV;D204;;;;hrv.d204;
hrvd;HRV;D205;;;;hrv.d205;
hrvd;HRV;D206;;;;hrv.d206;
hrvd;HRV;D207;;;;hrv.d207;
hrvd;HRV;D208;;;;hrv.d208;
hrvd;HRV;D209;;;;hrv.d209;
hrvd;HRV;D210;;;;hrv.d210;
hrvd;HRV;D211;;;;hrv.d211;
hrvd;HRV;D212;;;;hrv.d212;
hrvd;HRV;D213;;;;hrv.d213;
hrvd;HRV;D214;;;;hrv.d214;
hrvd;HRV;D216;;;;hrv.d216;
hrvd;HRV;D217;;;;hrv.d217;
hrvd;HRV;D218;;;;hrv.d218;
hrvd;HRV;D219;;;;hrv.d219;
hrvd;HRV;D220;;;;hrv.d220;
hrvd;HRV;D222;;;;hrv.d222;
hrvd;HRV;D223;;;;hrv.d223;
hrvd;HRV;D224;;;;hrv.d224;
hrvd;HRV;D225;;;;hrv.d225;
hrvd;HRV;D227;;;;hrv.d227;
hrvd;HRV;D228;;;;hrv.d228;
hrvd;HRV;D229;;;;hrv.d229;
hrvd;HRV;D231;;;;hrv.d231;
