systemName;route;banner;groupName;roots
gbnb;B700;;;sct.b0700
gbnb;B701;;;sct.b0701
gbnb;B702;;;sct.b0702
gbnb;B703;;;sct.b0703
gbnb;B704;;;sct.b0704
gbnb;B705;;;sct.b0705
gbnb;B706;;;sct.b0706
gbnb;B707;;;sct.b0707
gbnb;B708;;;sct.b0708
gbnb;B709;;;sct.b0709
gbnb;B710;;;sct.b0710
gbnb;B711;;;sct.b0711
gbnb;B712;;;sct.b0712
gbnb;B713;;;sct.b0713
gbnb;B714;;;sct.b0714
gbnb;B715;;;sct.b0715
gbnb;B717;;;sct.b0717
gbnb;B718;;;sct.b0718
gbnb;B719;;;sct.b0719
gbnb;B720;;;sct.b0720
gbnb;B721;;;sct.b0721
gbnb;B722;;;sct.b0722
gbnb;B723;;;sct.b0723
gbnb;B724;;;sct.b0724
gbnb;B725;;;sct.b0725
gbnb;B726;;;sct.b0726
gbnb;B727;;;sct.b0727
gbnb;B729;;;sct.b0729
gbnb;B730;;;sct.b0730
gbnb;B731;;;sct.b0731
gbnb;B732;;;sct.b0732
gbnb;B733;;;sct.b0733
gbnb;B734;;;sct.b0734
gbnb;B735;;;sct.b0735
gbnb;B736;;;sct.b0736
gbnb;B737;;;sct.b0737
gbnb;B738;;;sct.b0738
gbnb;B739;;;sct.b0739
gbnb;B740;;;sct.b0740
gbnb;B741;;;sct.b0741
gbnb;B742;;;sct.b0742
gbnb;B743;;;sct.b0743
gbnb;B744;;;sct.b0744
gbnb;B745;;;sct.b0745
gbnb;B746;;;sct.b0746
gbnb;B747;;;sct.b0747
gbnb;B748;;;sct.b0748
gbnb;B749;;;sct.b0749
gbnb;B750;;;sct.b0750
gbnb;B751;;;sct.b0751
gbnb;B752;;;sct.b0752
gbnb;B753;;;sct.b0753
gbnb;B754;;;sct.b0754
gbnb;B755;;;sct.b0755
gbnb;B756;;;sct.b0756
gbnb;B757;;;sct.b0757
gbnb;B758;;;sct.b0758
gbnb;B759;;;sct.b0759
gbnb;B761;;;sct.b0761
gbnb;B762;;;sct.b0762
gbnb;B763;;;sct.b0763
gbnb;B764;;;sct.b0764
gbnb;B765;;;sct.b0765
gbnb;B766;;;sct.b0766
gbnb;B767;;;sct.b0767
gbnb;B768;;;sct.b0768
gbnb;B769;;;sct.b0769
gbnb;B771;;;sct.b0771
gbnb;B773;;;sct.b0773
gbnb;B774;;;sct.b0774
gbnb;B775;;;sct.b0775
gbnb;B776;;;sct.b0776
gbnb;B777;;;sct.b0777
gbnb;B778;;;sct.b0778
