systemName;route;banner;groupName;roots
idnjt;JTATP;;Jalan Tol Akses Tanjung Priok;idn.jtatp
idnjt;JTAD;;Jalan Tol Antasari - Depok;idn.jtad
idnjt;JTBM;;Jalan Tol Bali Mandara;idn.jtbm
idnjt;JTBJ;;Jalan Tol Bandar - Jombang;idn.jtbj
idnjt;JTBS;;Jalan Tol Bawan - Salatiga;idn.jtbs
idnjt;JTB;;Jalan Tol Belmara;idn.jtb
idnjt;JTCN;;Jalan Tol Caruban - Nganjuk;idn.jtcn
idnjt;JTCP;;Jalan Tol Cawang - Pluit;idn.jtcpjak
idnjt;JTCP;;Jalan Tol Cikopo - Palimanan;idn.jtcp
idnjt;JTC;;Jalan Tol Cipularang;idn.jtc
idnjt;JTGP;;Jalan Tol Gampol - Pandaan;idn.jtgp
idnjt;JTGP;;Jalan Tol Gampol - Pasuruan;idn.jtgpban
idnjt;JTIS;;Jalan Tol Insinyur Sutami;idn.jtis
idnjt;JTWW;;Jalan Tol Ir. Wiyoto Wiyono;idn.jtww
idnjt;JTJ;;Jalan Tol Jagorawi;idn.jtj
idnjt;JTJC;;Jalan Tol Jakarta - Cikampek;idn.jtjc
idnjt;JTJM;;Jalan Tol Jakarta - Merak;idn.jtjm
idnjt;JTJB;;Jalan Tol Jatingaleh - Banyumanik;idn.jtjb
idnjt;JTJG;;Jalan Tol Jatingaleh - Gayamsari;idn.jtjg
idnjt;JTJK;;Jalan Tol Jatingaleh - Krapyak;idn.jtjk
idnjt;JTJM;;Jalan Tol Jombang - Mojokerto Barat;idn.jtjmjom
idnjt;JTKP;;Jalan Tol Kanci - Pejagan;idn.jtkp
idnjt;JTKS;;Jalan Tol Karanganyar - Sragan;idn.jtks
idnjt;JTKS;;Jalan Tol Kartasura - Surakarta;idn.jtkssur
idnjt;JTLLJ;;Jalan Tol Lingkar Luar Jakarta;idn.jtllj
idnjt;JTMC;;Jalan Tol Madiun - Caruban;idn.jtmc
idnjt;JTMK;;Jalan Tol Mojokerto - Kertosono;idn.jtmk
idnjt;JTMM;;Jalan Tol Mojokerto Barat - Mojokerto Utara;idn.jtmm
idnjt;JTNK;;Jalan Tol Nganjuk - Kertosono;idn.jtnk
idnjt;JTNM;;Jalan Tol Ngawi - Madiun;idn.jtnm
idnjt;JTP;;Jalan Tol Padaleunyi;idn.jtp
idnjt;JTPK;;Jalan Tol Palimanan - Kanci;idn.jtpk
idnjt;JTPM;;Jalan Tol Pandaan - Malang;idn.jtpm
idnjt;JTPP;;Jalan Tol Pasuran - Probolinggo;idn.jtpppas
idnjt;JTPP;;Jalan Tol Pejagan - Pemalang;idn.jtpp
idnjt;JTP;;Jalan Tol Pelabuhan;idn.jtpjak
idnjt;JTPB;;Jalan Tol Pemalang - Batang;idn.jtpb
idnjt;JTPG;;Jalan Tol Porong - Gampol;idn.jtpg
idnjt;JTPS;;Jalan Tol Prof. Dr. Sedyatmo;idn.jtps
idnjt;JTR;;Jalan Tol Reformasi;idn.jtr
idnjt;JTS;;Jalan Tol Soroja;idn.jts
idnjt;JTSS;;Jalan Tol Semarang - Solo;idn.jtss
idnjt;JTSU;;Jalan Tol Semarang - Ungaran;idn.jtsu
idnjt;JTSN;;Jalan Tol Sragen - Ngawi;idn.jtsn
idnjt;JTSG;;Jalan Tol Surabaya - Gresik;idn.jtsg
idnjt;JTSM;;Jalan Tol Surabaya - Mojokerto;idn.jtsm
idnjt;JTSP;;Jalan Tol Surabaya - Porong;idn.jtsp
idnjt;JTSK;;Jalan Tol Surakarta - Karanganyar;idn.jtsk
idnjt;JTUS;;Jalan Tol Ulujami Serpong;idn.jtus
idnjt;JTUB;;Jalan Tol Ungaran - Bawan;idn.jtub
idnjt;JTWJ;;Jalan Tol Waru - Juanda;idn.jtwj
