systemName;region;route;banner;abbrev;city;root;altRouteNames
usatxf2;TX;FM500;;;;tx.fm0500;
usatxf2;TX;FM502;;;;tx.fm0502;
usatxf2;TX;FM503;;;;tx.fm0503;
usatxf2;TX;FM504;;;;tx.fm0504;
usatxf2;TX;FM506;;;;tx.fm0506;
usatxf2;TX;FM507;;;;tx.fm0507;
usatxf2;TX;FM508;;;;tx.fm0508;
usatxf2;TX;FM509;;;;tx.fm0509;
usatxf2;TX;FM510;;;;tx.fm0510;
usatxf2;TX;FM511;;;;tx.fm0511;
usatxf2;TX;FM512;;;;tx.fm0512;
usatxf2;TX;FM513;;;;tx.fm0513;
usatxf2;TX;FM514;;;;tx.fm0514;
usatxf2;TX;FM514;Spr;Lak;Lake Fork Reservoir;tx.fm0514sprlak;
usatxf2;TX;FM515;;;;tx.fm0515;
usatxf2;TX;FM516;;;;tx.fm0516;
usatxf2;TX;FM517;;;;tx.fm0517;
usatxf2;TX;FM518;;;;tx.fm0518;
usatxf2;TX;FM519;;;;tx.fm0519;
usatxf2;TX;FM520;;;;tx.fm0520;
usatxf2;TX;FM521;;;;tx.fm0521;
usatxf2;TX;FM522;;;;tx.fm0522;
usatxf2;TX;FM523;;;;tx.fm0523;
usatxf2;TX;FM524;;;;tx.fm0524;
usatxf2;TX;FM525;;;;tx.fm0525;
usatxf2;TX;FM526;;;;tx.fm0526;
usatxf2;TX;FM528;;;;tx.fm0528;
usatxf2;TX;FM529;;;;tx.fm0529;
usatxf2;TX;FM530;;;;tx.fm0530;
usatxf2;TX;FM531;;;;tx.fm0531;
usatxf2;TX;FM532;;;;tx.fm0532;
usatxf2;TX;FM533;;;;tx.fm0533;
usatxf2;TX;FM534;;;;tx.fm0534;
usatxf2;TX;FM535;;;;tx.fm0535;
usatxf2;TX;FM536;;;;tx.fm0536;
usatxf2;TX;FM537;;;;tx.fm0537;
usatxf2;TX;FM538;;;;tx.fm0538;
usatxf2;TX;FM539;;;;tx.fm0539;
usatxf2;TX;FM540;;;;tx.fm0540;
usatxf2;TX;FM541;;;;tx.fm0541;
usatxf2;TX;FM542;;;;tx.fm0542;
usatxf2;TX;FM543;;;;tx.fm0543;
usatxf2;TX;FM544;;;Carrollton;tx.fm0544;
usatxf2;TX;FM544;;Mur;Murphy;tx.fm0544mur;
usatxf2;TX;FM545;;;;tx.fm0545;
usatxf2;TX;FM546;;;;tx.fm0546;
usatxf2;TX;FM547;;;;tx.fm0547;
usatxf2;TX;FM548;;;;tx.fm0548;
usatxf2;TX;FM549;;;;tx.fm0549;
usatxf2;TX;FM550;;;;tx.fm0550;
usatxf2;TX;FM551;;;;tx.fm0551;
usatxf2;TX;FM552;;;;tx.fm0552;
usatxf2;TX;FM553;;;;tx.fm0553;
usatxf2;TX;FM554;;;;tx.fm0554;
usatxf2;TX;FM555;;;;tx.fm0555;
usatxf2;TX;FM556;;;;tx.fm0556;
usatxf2;TX;FM557;;;;tx.fm0557;
usatxf2;TX;FM558;;;;tx.fm0558;
usatxf2;TX;FM559;;;;tx.fm0559;
usatxf2;TX;FM560;;;;tx.fm0560;
usatxf2;TX;FM561;;;;tx.fm0561;
usatxf2;TX;FM562;;;;tx.fm0562;
usatxf2;TX;FM563;;;;tx.fm0563;
usatxf2;TX;FM565;;;;tx.fm0565;
usatxf2;TX;FM566;;;;tx.fm0566;
usatxf2;TX;FM567;;;;tx.fm0567;
usatxf2;TX;FM568;;;;tx.fm0568;
usatxf2;TX;FM569;;;;tx.fm0569;
usatxf2;TX;FM570;;;;tx.fm0570;
usatxf2;TX;FM571;;;;tx.fm0571;
usatxf2;TX;FM572;;;;tx.fm0572;
usatxf2;TX;FM573;;;;tx.fm0573;
usatxf2;TX;FM574;;;;tx.fm0574;
usatxf2;TX;FM575;;;;tx.fm0575;
usatxf2;TX;FM576;;;;tx.fm0576;
usatxf2;TX;FM577;;;;tx.fm0577;
usatxf2;TX;FM578;;;;tx.fm0578;
usatxf2;TX;FM579;;;;tx.fm0579;
usatxf2;TX;FM580;;;;tx.fm0580;
usatxf2;TX;FM581;;;;tx.fm0581;
usatxf2;TX;FM582;;;;tx.fm0582;
usatxf2;TX;FM583;;;;tx.fm0583;
usatxf2;TX;FM585;;;;tx.fm0585;
usatxf2;TX;FM586;;;;tx.fm0586;
usatxf2;TX;FM586;Spr;Ban;Bangs;tx.fm0586sprban;
usatxf2;TX;FM587;;;;tx.fm0587;
