systemName;route;banner;groupName;roots
deunwlc;L1;;;deunw.l001
deunwlc;L2;;;deunw.l002
deunwlc;L3;;;deunw.l003
deunwlc;L4;;Voerde;deunw.l004
deunwlc;L4;;Dinslaken;deunw.l004din
deunwlc;L5;;;deunw.l005
deunwlc;L6;;;deunw.l006
deunwlc;L7;;;deunw.l007
deunwlc;L8;;;deunw.l008
deunwlc;L9;;;deunw.l009
deunwlc;L10;;;deunw.l010
deunwlc;L11;;Aldenhoven;deunw.l011ald
deunwlc;L11;;Eschweiler;deunw.l011esc
deunwlc;L11;;Mechernich;deunw.l011
deunwlc;L12;;Holzweiler;deunw.l012hol
deunwlc;L12;;Titz;deunw.l012tit
deunwlc;L12;;Niederzier;deunw.l012nie
deunwlc;L12;;Stolberg;deunw.l012
deunwlc;L13;;Mariaweiler;deunw.l013
deunwlc;L13;;Lendersdorf;deunw.l013len
deunwlc;L14;;(Main);deunw.l014
deunwlc;L14;;Koslar;deunw.l014kos
deunwlc;L15;;;deunw.l015
deunwlc;L16;;;deunw.l016
deunwlc;L17;;;deunw.l017
deunwlc;L18;;;deunw.l018
deunwlc;L19;;Erkelenz;deunw.l019
deunwlc;L19;;Holz;deunw.l019hol
deunwlc;L20;;;deunw.l020
deunwlc;L21;;;deunw.l021
deunwlc;L22;;;deunw.l022
deunwlc;L23;;;deunw.l023
deunwlc;L24;;;deunw.l024
deunwlc;L25;;;deunw.l025
deunwlc;L26;;;deunw.l026
deunwlc;L28;;;deunw.l028
deunwlc;L29;;;deunw.l029
deunwlc;L30;;;deunw.l030
deunwlc;L31;;;deunw.l031
deunwlc;L32;;;deunw.l032
deunwlc;L33;;;deunw.l033
deunwlc;L34;;;deunw.l034
deunwlc;L35;;;deunw.l035
deunwlc;L36;;;deunw.l036
deunwlc;L37;;;deunw.l037
deunwlc;L38;;;deunw.l038
deunwlc;L39;;Viersen;deunw.l039
deunwlc;L39;;Mönchengladbach;deunw.l039mon
deunwlc;L41;;;deunw.l041
deunwlc;L42;;;deunw.l042
deunwlc;L43;;Köln;deunw.l043
deunwlc;L43;;Langenfeld;deunw.l043lan
deunwlc;L44;;;deunw.l044
deunwlc;L46;;;deunw.l046
deunwlc;L47;;;deunw.l047
deunwlc;L49;;;deunw.l049
deunwlc;L50;;;deunw.l050
deunwlc;L51;;;deunw.l051
deunwlc;L52;;;deunw.l052
deunwlc;L53;;;deunw.l053
deunwlc;L54;;;deunw.l054
deunwlc;L55;;;deunw.l055
deunwlc;L56;;;deunw.l056
deunwlc;L58;;;deunw.l058
deunwlc;L59;;;deunw.l059
deunwlc;L60;;;deunw.l060
deunwlc;L61;;Oberwichterich;deunw.l061obe
deunwlc;L61;;Dürscheven;deunw.l061dur
deunwlc;L61;;Mechernich;deunw.l061
deunwlc;L62;;;deunw.l062
deunwlc;L63;;;deunw.l063
deunwlc;L64;;;deunw.l064
deunwlc;L65;;;deunw.l065
deunwlc;L66;;;deunw.l066
deunwlc;L67;;;deunw.l067
deunwlc;L68;;;deunw.l068
deunwlc;L69;;;deunw.l069
deunwlc;L70;;;deunw.l070
deunwlc;L71;;Viersen;deunw.l071
deunwlc;L71;;Jüchen;deunw.l071juc
deunwlc;L72;;;deunw.l072
deunwlc;L73;;;deunw.l073
deunwlc;L74;;;deunw.l074
deunwlc;L77;;;deunw.l077
deunwlc;L78;;(Main);deunw.l078
deunwlc;L78;;Mülheim an der Ruhr;deunw.l078mul
deunwlc;L79;;;deunw.l079
deunwlc;L80;;(Main);deunw.l080
deunwlc;L80;;Bergisch-Born;deunw.l080ber
deunwlc;L81;;;deunw.l081
deunwlc;L82;;;deunw.l082
deunwlc;L83;;;deunw.l083
deunwlc;L84;;;deunw.l084
deunwlc;L85;;;deunw.l085
deunwlc;L86;;;deunw.l086
deunwlc;L87;;;deunw.l087
deunwlc;L89;;;deunw.l089
deunwlc;L90;;;deunw.l090
deunwlc;L91;;;deunw.l091
deunwlc;L92;;;deunw.l092
deunwlc;L93;;;deunw.l093
deunwlc;L94;;;deunw.l094
deunwlc;L95;;;deunw.l095
deunwlc;L96;;;deunw.l096
deunwlc;L97;;;deunw.l097
deunwlc;L98;;;deunw.l098
deunwlc;L99;;;deunw.l099
deunwlc;L100;;;deunw.l100
deunwlc;L101;;;deunw.l101
deunwlc;L102;;;deunw.l102
deunwlc;L103;;;deunw.l103
deunwlc;L104;;;deunw.l104
deunwlc;L105;;;deunw.l105
deunwlc;L106;;;deunw.l106
deunwlc;L107;;;deunw.l107
deunwlc;L108;;;deunw.l108
deunwlc;L109;;;deunw.l109
deunwlc;L110;;;deunw.l110
deunwlc;L111;;;deunw.l111
deunwlc;L112;;Distelshausen;deunw.l112dis
deunwlc;L112;;Bellingen;deunw.l112bel
deunwlc;L112;;Opperzau-North;deunw.l112
deunwlc;L112;;Opperzau-South;deunw.l112ops
deunwlc;L112;;Au (Sieg);deunw.l112aus
deunwlc;L124;;;deunw.l124
deunwlc;L141n;;;deunw.l141n
deunwlc;L150;;Godorf;deunw.l150
deunwlc;L150;;Sürth;deunw.l150sur
deunwlc;L232;;;deunw.l232
deunwlc;L237;;;deunw.l237
deunwlc;L260;;Aachen-West;deunw.l260wes
deunwlc;L260;;Aachen-Ost;deunw.l260
deunwlc;L293;;Düsseldorf;deunw.l293
deunwlc;L293;;Leverkusen;deunw.l293lev
deunwlc;L418;;(Main);deunw.l418
deunwlc;L418;;Friedrichshain;deunw.l418fri
deunwlc;L705;;Bochum;deunw.l705boc
deunwlc;L705;;Hattingen;deunw.l705
deunwlc;L800;;Bontkirchen-East;deunw.l800boe
deunwlc;L800;;Bontkirchen;deunw.l800bon
deunwlc;L800;;Bontkirchen-South;deunw.l800bos
deunwlc;L3081;;;deunw.l3081
