System;Route;Banner;Name;Roots
deuhel;L163;HE;;deu.hel0163he
deuhel;L535;HE;;deu.hel0535he
deuhel;L553;HE;;deu.hel0553he
deuhel;L561;HE;;deu.hel0561he
deuhel;L562;HE;;deu.hel0562he
deuhel;L617;HE;;deu.hel0617he
deuhel;L631;HE;;deu.hel0631he
deuhel;L763;HE;;deu.hel0763he
deuhel;L1328;HE;;deu.hel1328he
deuhel;L1551;HE;;deu.hel1551he
deuhel;L1571;HE;;deu.hel1571he
deuhel;L2289;HE;;deu.hel2289he
deuhel;L2303;HE;;deu.hel2303he
deuhel;L2304;HE;;deu.hel2304he
deuhel;L2306;HE;;deu.hel2306he
deuhel;L2310;HE;(Main);deu.hel2310he
deuhel;L2310;HE;Seligenstadt;deu.hel2310hesel
deuhel;L2311;HE;;deu.hel2311he
deuhel;L2604;HE;;deu.hel2604he
deuhel;L2905;HE;;deu.hel2905he
deuhel;L3001;HE;;deu.hel3001he
deuhel;L3002;HE;;deu.hel3002he
deuhel;L3003;HE;;deu.hel3003he
deuhel;L3004;HE;;deu.hel3004he
deuhel;L3005;HE;;deu.hel3005he
deuhel;L3006;HE;;deu.hel3006he
deuhel;L3007;HE;;deu.hel3007he
deuhel;L3008;HE;;deu.hel3008he
deuhel;L3009;HE;;deu.hel3009he
deuhel;L3010;HE;;deu.hel3010he
deuhel;L3011;HE;(Main);deu.hel3011he
deuhel;L3011;HE;Hofheim;deu.hel3011hehof
deuhel;L3012;HE;;deu.hel3012he
deuhel;L3013;HE;;deu.hel3013he
deuhel;L3014;HE;;deu.hel3014he
deuhel;L3015;HE;;deu.hel3015he
deuhel;L3016;HE;;deu.hel3016he
deuhel;L3017;HE;(Main);deu.hel3017he
deuhel;L3017;HE;Bremthal;deu.hel3017hebre
deuhel;L3018;HE;Langenhain;deu.hel3018he
deuhel;L3018;HE;Zeilsheim;deu.hel3018hezei
deuhel;L3019;HE;;deu.hel3019he
deuhel;L3020;HE;;deu.hel3020he
deuhel;L3021;HE;;deu.hel3021he
deuhel;L3022;HE;(Main);deu.hel3022he
deuhel;L3022;HE;Niederbrechen;deu.hel3022henie
deuhel;L3023;HE;;deu.hel3023he
deuhel;L3024;HE;;deu.hel3024he
deuhel;L3025;HE;;deu.hel3025he
deuhel;L3026;HE;;deu.hel3026he
deuhel;L3027;HE;;deu.hel3027he
deuhel;L3028;HE;;deu.hel3028he
deuhel;L3030;HE;;deu.hel3030he
deuhel;L3031;HE;Espenschied;deu.hel3031heesp
deuhel;L3031;HE;Heidenrod;deu.hel3031hehei
deuhel;L3031;HE;Bad Camberg;deu.hel3031he
deuhel;L3032;HE;;deu.hel3032he
deuhel;L3033;HE;;deu.hel3033he
deuhel;L3034;HE;;deu.hel3034he
deuhel;L3035;HE;;deu.hel3035he
deuhel;L3036;HE;;deu.hel3036he
deuhel;L3037;HE;;deu.hel3037he
deuhel;L3038;HE;;deu.hel3038he
deuhel;L3039;HE;;deu.hel3039he
deuhel;L3040;HE;;deu.hel3040he
deuhel;L3041;HE;;deu.hel3041he
deuhel;L3042;HE;;deu.hel3042he
deuhel;L3043;HE;;deu.hel3043he
deuhel;L3044;HE;;deu.hel3044he
deuhel;L3045;HE;;deu.hel3045he
deuhel;L3046;HE;(Main);deu.hel3046he
deuhel;L3046;HE;Herborn;deu.hel3046heher
deuhel;L3047;HE;;deu.hel3047he
deuhel;L3048;HE;;deu.hel3048he
deuhel;L3049;HE;;deu.hel3049he
deuhel;L3050;HE;;deu.hel3050he
deuhel;L3051;HE;;deu.hel3051he
deuhel;L3052;HE;;deu.hel3052he
deuhel;L3053;HE;;deu.hel3053he
deuhel;L3054;HE;;deu.hel3054he
deuhel;L3055;HE;;deu.hel3055he
deuhel;L3056;HE;;deu.hel3056he
deuhel;L3057;HE;;deu.hel3057he
deuhel;L3059;HE;;deu.hel3059he
deuhel;L3061;HE;;deu.hel3061he
deuhel;L3063;HE;;deu.hel3063he
deuhel;L3064;HE;;deu.hel3064he
deuhel;L3065;HE;;deu.hel3065he
deuhel;L3067;HE;;deu.hel3067he
deuhel;L3068;HE;;deu.hel3068he
deuhel;L3069;HE;;deu.hel3069he
deuhel;L3070;HE;;deu.hel3070he
deuhel;L3071;HE;;deu.hel3071he
deuhel;L3072;HE;;deu.hel3072he
deuhel;L3073;HE;;deu.hel3073he
deuhel;L3074;HE;;deu.hel3074he
deuhel;L3075;HE;;deu.hel3075he
deuhel;L3076;HE;;deu.hel3076he
deuhel;L3077;HE;;deu.hel3077he
deuhel;L3078;HE;(Main);deu.hel3078he
deuhel;L3078;HE;Massenhausen;deu.hel3078hemas
deuhel;L3079;HE;Hosenfeld;deu.hel3079he
deuhel;L3079;HE;Fulda;deu.hel3079heful
deuhel;L3080;HE;;deu.hel3080he
deuhel;L3081;HE;;deu.hel3081he
deuhel;L3082;HE;;deu.hel3082he
deuhel;L3083;HE;;deu.hel3083he
deuhel;L3084;HE;;deu.hel3084he
deuhel;L3085;HE;;deu.hel3085he
deuhel;L3086;HE;;deu.hel3086he
deuhel;L3087;HE;;deu.hel3087he
deuhel;L3088;HE;;deu.hel3088he
deuhel;L3089;HE;(Main);deu.hel3089he
deuhel;L3089;HE;Cölbe;deu.hel3089hecol
deuhel;L3090;HE;;deu.hel3090he
deuhel;L3091;HE;;deu.hel3091he
deuhel;L3092;HE;;deu.hel3092he
deuhel;L3093;HE;;deu.hel3093he
deuhel;L3094;HE;Geinsheim;deu.hel3094hegei
deuhel;L3094;HE;Worfelden;deu.hel3094hewor
deuhel;L3094;HE;Dieburg;deu.hel3094he
deuhel;L3095;HE;(Main);deu.hel3095he
deuhel;L3095;HE;Eppertshausen;deu.hel3095heepp
deuhel;L3096;HE;;deu.hel3096he
deuhel;L3097;HE;;deu.hel3097he
deuhel;L3098;HE;;deu.hel3098he
deuhel;L3099;HE;;deu.hel3099he
